region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,81.99,531,494,600,81.1,83.65,531 [494 - 600],81.99% [81.1% - 83.65%],168,93,308,01-26-2021,projected
2,AL- DOTHAN,82.33,98,89,110,81.05,83.77,98 [89 - 110],82.33% [81.05% - 83.77%],31,14,50,01-26-2021,projected
5,AL- HUNTSVILLE,81.17,72,67,78,80.64,81.86,72 [67 - 78],81.17% [80.64% - 81.86%],22,12,35,01-26-2021,projected
6,AL- MOBILE,83.12,282,262,314,81.72,85.18,282 [262 - 314],83.12% [81.72% - 85.18%],89,49,148,01-26-2021,projected
7,AL- MONTGOMERY,86.99,366,342,416,84.01,93.45,366 [342 - 416],86.99% [84.01% - 93.45%],108,62,208,01-26-2021,projected
9,AL- TUSCALOOSA,82.4,73,67,85,81.4,84.71,73 [67 - 85],82.4% [81.4% - 84.71%],24,14,47,01-26-2021,projected
11,AZ- MESA,84.04,248,228,290,81.97,88.23,248 [228 - 290],84.04% [81.97% - 88.23%],80,39,163,01-26-2021,projected
12,AZ- PHOENIX,82.07,481,442,553,81.02,83.96,481 [442 - 553],82.07% [81.02% - 83.96%],157,77,300,01-26-2021,projected
14,AZ- SUN CITY,80.86,20,18,23,80.37,81.48,20 [18 - 23],80.86% [80.37% - 81.48%],7,3,12,01-26-2021,projected
15,AZ- TUCSON,86.54,525,480,623,82.97,94.3,525 [480 - 623],86.54% [82.97% - 94.3%],165,75,361,01-26-2021,projected
16,AR- FORT SMITH,81.72,71,64,79,80.86,82.97,71 [64 - 79],81.72% [80.86% - 82.97%],22,11,38,01-26-2021,projected
18,AR- JONESBORO,81.11,24,21,26,80.44,81.44,24 [21 - 26],81.11% [80.44% - 81.44%],10,4,13,01-26-2021,projected
19,AR- LITTLE ROCK,81.42,263,242,288,80.74,82.27,263 [242 - 288],81.42% [80.74% - 82.27%],82,43,131,01-26-2021,projected
21,AR- SPRINGDALE,84.54,155,143,171,82.55,87.57,155 [143 - 171],84.54% [82.55% - 87.57%],48,27,80,01-26-2021,projected
22,AR- TEXARKANA,82.24,69,63,77,81.12,83.57,69 [63 - 77],82.24% [81.12% - 83.57%],22,11,35,01-26-2021,projected
23,CA- ORANGE CO.,81.74,407,380,441,81.02,82.64,407 [380 - 441],81.74% [81.02% - 82.64%],133,78,202,01-26-2021,projected
25,CA- BAKERSFIELD,81.44,161,149,174,80.83,82.21,161 [149 - 174],81.44% [80.83% - 82.21%],52,30,80,01-26-2021,projected
31,CA- CHICO,80.94,21,19,22,80.62,81.41,21 [19 - 22],80.94% [80.62% - 81.41%],6,4,9,01-26-2021,projected
33,CA- CONTRA COSTA CO.,81.0,62,57,68,80.55,81.6,62 [57 - 68],81.0% [80.55% - 81.6%],20,11,32,01-26-2021,projected
43,CA- FRESNO,81.71,119,110,129,80.92,82.58,119 [110 - 129],81.71% [80.92% - 82.58%],39,21,59,01-26-2021,projected
56,CA- LOS ANGELES,82.59,1949,1788,2123,81.27,84.01,1949 [1788 - 2123],82.59% [81.27% - 84.01%],642,316,994,01-26-2021,projected
58,CA- MODESTO,81.05,54,49,59,80.47,81.63,54 [49 - 59],81.05% [80.47% - 81.63%],18,8,28,01-26-2021,projected
62,CA- NAPA,81.37,24,21,28,80.52,82.41,24 [21 - 28],81.37% [80.52% - 82.41%],8,3,14,01-26-2021,projected
65,CA- ALAMEDA CO.,80.44,41,37,48,80.15,80.8,41 [37 - 48],80.44% [80.15% - 80.8%],15,5,27,01-26-2021,projected
69,CA- PALM SPR/RANCHO MIR.,82.37,75,70,81,81.42,83.42,75 [70 - 81],82.37% [81.42% - 83.42%],25,15,36,01-26-2021,projected
73,CA- REDDING,80.46,14,13,17,80.37,80.83,14 [13 - 17],80.46% [80.37% - 80.83%],5,4,9,01-26-2021,projected
77,CA- SACRAMENTO,80.86,126,116,140,80.44,81.38,126 [116 - 140],80.86% [80.44% - 81.38%],41,21,66,01-26-2021,projected
78,CA- SALINAS,80.76,21,19,23,80.38,81.26,21 [19 - 23],80.76% [80.38% - 81.26%],6,3,10,01-26-2021,projected
