region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,94.98,860,772,1019,85.62,112.0,860 [772 - 1019],94.98% [85.62% - 112.0%],1265,475,2702,04-28-2021,projected
2,AL- DOTHAN,93.25,119,107,158,86.02,121.94,119 [107 - 158],93.25% [86.02% - 121.94%],176,80,557,04-28-2021,projected
5,AL- HUNTSVILLE,125.59,597,544,717,101.97,180.8,597 [544 - 717],125.59% [101.97% - 180.8%],857,413,1895,04-28-2021,projected
6,AL- MOBILE,130.3,942,850,1101,99.22,183.61,942 [850 - 1101],130.3% [99.22% - 183.61%],1437,549,2960,04-28-2021,projected
7,AL- MONTGOMERY,91.25,112,103,137,85.17,107.17,112 [103 - 137],91.25% [85.17% - 107.17%],174,80,420,04-28-2021,projected
9,AL- TUSCALOOSA,90.42,69,60,84,82.81,104.15,69 [60 - 84],90.42% [82.81% - 104.15%],104,28,241,04-28-2021,projected
11,AZ- MESA,117.63,492,449,554,97.17,146.41,492 [449 - 554],117.63% [97.17% - 146.41%],745,340,1315,04-28-2021,projected
12,AZ- PHOENIX,103.99,1217,1110,1389,90.76,125.32,1217 [1110 - 1389],103.99% [90.76% - 125.32%],1817,815,3433,04-28-2021,projected
14,AZ- SUN CITY,96.3,87,79,98,87.16,109.01,87 [79 - 98],96.3% [87.16% - 109.01%],132,58,235,04-28-2021,projected
15,AZ- TUCSON,98.23,310,282,380,87.73,121.92,310 [282 - 380],98.23% [87.73% - 121.92%],460,195,1058,04-28-2021,projected
16,AR- FORT SMITH,216.38,1225,1034,1876,95.14,695.3,1225 [1034 - 1876],216.38% [95.14% - 695.3%],1747,194,7882,04-28-2021,projected
18,AR- JONESBORO,113.19,207,181,244,88.3,153.67,207 [181 - 244],113.19% [88.3% - 153.67%],300,75,666,04-28-2021,projected
19,AR- LITTLE ROCK,134.02,2273,2021,2981,98.4,243.48,2273 [2021 - 2981],134.02% [98.4% - 243.48%],3118,1062,9436,04-28-2021,projected
21,AR- SPRINGDALE,195.14,831,737,1115,113.11,447.46,831 [737 - 1115],195.14% [113.11% - 447.46%],1217,350,3884,04-28-2021,projected
22,AR- TEXARKANA,116.94,199,175,312,86.73,229.59,199 [175 - 312],116.94% [86.73% - 229.59%],362,66,1466,04-28-2021,projected
23,CA- ORANGE CO.,80.58,21,19,27,80.16,81.23,21 [19 - 27],80.58% [80.16% - 81.23%],44,12,94,04-28-2021,projected
25,CA- BAKERSFIELD,80.06,0,0,2,80.0,80.69,0 [0 - 2],80.06% [80.0% - 80.69%],2,0,25,04-28-2021,projected
31,CA- CHICO,99.53,81,72,108,85.0,140.0,81 [72 - 108],99.53% [85.0% - 140.0%],125,32,384,04-28-2021,projected
33,CA- CONTRA COSTA CO.,83.64,44,39,54,81.2,88.14,44 [39 - 54],83.64% [81.2% - 88.14%],73,24,163,04-28-2021,projected
43,CA- FRESNO,80.92,13,11,19,80.13,83.2,13 [11 - 19],80.92% [80.13% - 83.2%],21,3,73,04-28-2021,projected
56,CA- LOS ANGELES,80.08,7,6,11,80.0,80.32,7 [6 - 11],80.08% [80.0% - 80.32%],21,0,79,04-28-2021,projected
58,CA- MODESTO,89.37,105,94,128,82.39,103.5,105 [94 - 128],89.37% [82.39% - 103.5%],161,41,404,04-28-2021,projected
62,CA- NAPA,100.45,87,73,103,81.03,126.39,87 [73 - 103],100.45% [81.03% - 126.39%],119,6,270,04-28-2021,projected
65,CA- ALAMEDA CO.,82.37,42,38,48,80.92,84.0,42 [38 - 48],82.37% [80.92% - 84.0%],80,31,135,04-28-2021,projected
69,CA- PALM SPR/RANCHO MIR.,80.0,0,0,0,80.0,80.38,0 [0 - 0],80.0% [80.0% - 80.38%],0,0,4,04-28-2021,projected
73,CA- REDDING,111.89,216,200,261,96.36,155.69,216 [200 - 261],111.89% [96.36% - 155.69%],345,177,819,04-28-2021,projected
77,CA- SACRAMENTO,99.59,624,546,776,83.97,130.92,624 [546 - 776],99.59% [83.97% - 130.92%],937,190,2436,04-28-2021,projected
78,CA- SALINAS,80.0,0,0,1,80.0,81.39,0 [0 - 1],80.0% [80.0% - 81.39%],0,0,11,04-28-2021,projected
