region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,80.24,134,124,155,80.13,80.46,134 [124 - 155],80.24% [80.13% - 80.46%],20,11,39,03-03-2021,projected
2,AL- DOTHAN,80.15,14,12,14,80.0,80.15,14 [12 - 14],80.15% [80.0% - 80.15%],2,0,2,03-03-2021,projected
5,AL- HUNTSVILLE,80.27,35,32,38,80.16,80.43,35 [32 - 38],80.27% [80.16% - 80.43%],5,3,8,03-03-2021,projected
6,AL- MOBILE,80.28,53,49,58,80.18,80.42,53 [49 - 58],80.28% [80.18% - 80.42%],8,5,12,03-03-2021,projected
7,AL- MONTGOMERY,80.13,14,12,15,80.06,80.19,14 [12 - 15],80.13% [80.06% - 80.19%],2,1,3,03-03-2021,projected
9,AL- TUSCALOOSA,80.2,14,14,16,80.2,80.4,14 [14 - 16],80.2% [80.2% - 80.4%],2,2,4,03-03-2021,projected
11,AZ- MESA,80.25,35,32,38,80.15,80.4,35 [32 - 38],80.25% [80.15% - 80.4%],5,3,8,03-03-2021,projected
12,AZ- PHOENIX,80.17,86,79,93,80.09,80.26,86 [79 - 93],80.17% [80.09% - 80.26%],13,7,20,03-03-2021,projected
14,AZ- SUN CITY,80.12,7,6,7,80.0,80.12,7 [6 - 7],80.12% [80.0% - 80.12%],1,0,1,03-03-2021,projected
15,AZ- TUCSON,80.16,28,26,31,80.12,80.28,28 [26 - 31],80.16% [80.12% - 80.28%],4,3,7,03-03-2021,projected
16,AR- FORT SMITH,80.08,3,2,5,80.0,80.16,3 [2 - 5],80.08% [80.0% - 80.16%],1,0,2,03-03-2021,projected
18,AR- JONESBORO,80.0,0,0,2,80.0,80.22,0 [0 - 2],80.0% [80.0% - 80.22%],0,0,2,03-03-2021,projected
19,AR- LITTLE ROCK,80.19,77,71,102,80.09,80.61,77 [71 - 102],80.19% [80.09% - 80.61%],11,5,35,03-03-2021,projected
21,AR- SPRINGDALE,80.38,28,26,32,80.28,80.76,28 [26 - 32],80.38% [80.28% - 80.76%],4,3,8,03-03-2021,projected
22,AR- TEXARKANA,80.31,15,12,19,80.0,80.61,15 [12 - 19],80.31% [80.0% - 80.61%],3,0,6,03-03-2021,projected
23,CA- ORANGE CO.,80.05,23,21,26,80.03,80.08,23 [21 - 26],80.05% [80.03% - 80.08%],4,2,6,03-03-2021,projected
25,CA- BAKERSFIELD,80.06,12,11,14,80.03,80.11,12 [11 - 14],80.06% [80.03% - 80.11%],2,1,4,03-03-2021,projected
31,CA- CHICO,80.0,0,0,1,80.0,80.16,0 [0 - 1],80.0% [80.0% - 80.16%],0,0,1,03-03-2021,projected
33,CA- CONTRA COSTA CO.,80.1,14,13,17,80.1,80.25,14 [13 - 17],80.1% [80.1% - 80.25%],2,2,5,03-03-2021,projected
43,CA- FRESNO,80.13,19,17,21,80.04,80.18,19 [17 - 21],80.13% [80.04% - 80.18%],3,1,4,03-03-2021,projected
56,CA- LOS ANGELES,80.06,91,84,99,80.03,80.09,91 [84 - 99],80.06% [80.03% - 80.09%],15,8,22,03-03-2021,projected
58,CA- MODESTO,80.17,21,19,23,80.12,80.29,21 [19 - 23],80.17% [80.12% - 80.29%],3,2,5,03-03-2021,projected
62,CA- NAPA,80.17,7,6,7,80.0,80.17,7 [6 - 7],80.17% [80.0% - 80.17%],1,0,1,03-03-2021,projected
65,CA- ALAMEDA CO.,80.03,7,6,8,80.03,80.06,7 [6 - 8],80.03% [80.03% - 80.06%],1,1,2,03-03-2021,projected
69,CA- PALM SPR/RANCHO MIR.,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,03-03-2021,projected
73,CA- REDDING,80.28,16,14,19,80.09,80.46,16 [14 - 19],80.28% [80.09% - 80.46%],3,1,5,03-03-2021,projected
77,CA- SACRAMENTO,80.13,42,38,45,80.04,80.19,42 [38 - 45],80.13% [80.04% - 80.19%],6,2,9,03-03-2021,projected
78,CA- SALINAS,80.13,7,6,7,80.0,80.13,7 [6 - 7],80.13% [80.0% - 80.13%],1,0,1,03-03-2021,projected
79,CA- SAN BERNARDINO,80.05,19,17,21,80.03,80.07,19 [17 - 21],80.05% [80.03% - 80.07%],3,2,4,03-03-2021,projected
80,CA- SAN DIEGO,80.1,46,42,50,80.06,80.16,46 [42 - 50],80.1% [80.06% - 80.16%],7,4,11,03-03-2021,projected
81,CA- SAN FRANCISCO,80.04,14,13,16,80.02,80.08,14 [13 - 16],80.04% [80.02% - 80.08%],2,1,4,03-03-2021,projected
82,CA- SAN JOSE,80.17,30,28,33,80.1,80.23,30 [28 - 33],80.17% [80.1% - 80.23%],5,3,7,03-03-2021,projected
83,CA- SAN LUIS OBISPO,80.22,7,6,7,80.0,80.22,7 [6 - 7],80.22% [80.0% - 80.22%],1,0,1,03-03-2021,projected
85,CA- SAN MATEO CO.,80.11,20,18,21,80.07,80.11,20 [18 - 21],80.11% [80.07% - 80.11%],3,2,3,03-03-2021,projected
86,CA- SANTA BARBARA,80.1,7,7,8,80.1,80.21,7 [7 - 8],80.1% [80.1% - 80.21%],1,1,2,03-03-2021,projected
87,CA- SANTA CRUZ,80.0,0,0,1,80.0,80.28,0 [0 - 1],80.0% [80.0% - 80.28%],0,0,1,03-03-2021,projected
89,CA- SANTA ROSA,80.05,7,7,9,80.05,80.16,7 [7 - 9],80.05% [80.05% - 80.16%],1,1,3,03-03-2021,projected
