region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,85.81,145,137,151,85.23,86.34,145 [137 - 151],85.81% [85.23% - 86.34%],491,442,535,03-16-2021,projected
2,AL- DOTHAN,81.88,1,0,3,81.28,82.86,1 [0 - 3],81.88% [81.28% - 82.86%],25,17,38,03-16-2021,projected
5,AL- HUNTSVILLE,84.04,21,19,22,83.72,84.52,21 [19 - 22],84.04% [83.72% - 84.52%],76,70,85,03-16-2021,projected
6,AL- MOBILE,83.29,28,27,29,82.98,83.61,28 [27 - 29],83.29% [82.98% - 83.61%],94,85,103,03-16-2021,projected
7,AL- MONTGOMERY,85.05,21,19,22,84.66,85.24,21 [19 - 22],85.05% [84.66% - 85.24%],78,72,81,03-16-2021,projected
9,AL- TUSCALOOSA,83.51,7,7,8,83.11,83.81,7 [7 - 8],83.51% [83.11% - 83.81%],35,31,38,03-16-2021,projected
11,AZ- MESA,96.11,101,98,105,94.65,98.13,101 [98 - 105],96.11% [94.65% - 98.13%],319,290,359,03-16-2021,projected
12,AZ- PHOENIX,90.09,236,228,246,89.16,91.33,236 [228 - 246],90.09% [89.16% - 91.33%],764,694,858,03-16-2021,projected
14,AZ- SUN CITY,86.67,17,16,18,86.05,87.53,17 [16 - 18],86.67% [86.05% - 87.53%],54,49,61,03-16-2021,projected
15,AZ- TUCSON,85.71,47,45,49,85.19,86.3,47 [45 - 49],85.71% [85.19% - 86.3%],144,131,159,03-16-2021,projected
16,AR- FORT SMITH,84.37,8,7,11,84.06,84.61,8 [7 - 11],84.37% [84.06% - 84.61%],56,52,59,03-16-2021,projected
18,AR- JONESBORO,81.11,0,0,1,80.77,81.44,0 [0 - 1],81.11% [80.77% - 81.44%],10,7,13,03-16-2021,projected
19,AR- LITTLE ROCK,81.96,33,32,35,81.7,82.13,33 [32 - 35],81.96% [81.7% - 82.13%],113,98,123,03-16-2021,projected
21,AR- SPRINGDALE,86.72,22,21,24,86.15,87.38,22 [21 - 24],86.72% [86.15% - 87.38%],71,65,78,03-16-2021,projected
22,AR- TEXARKANA,82.55,8,6,9,81.94,82.65,8 [6 - 9],82.55% [81.94% - 82.65%],25,19,26,03-16-2021,projected
23,CA- ORANGE CO.,82.0,37,35,39,81.74,82.26,37 [35 - 39],82.0% [81.74% - 82.26%],153,133,173,03-16-2021,projected
25,CA- BAKERSFIELD,82.88,24,22,26,82.57,83.18,24 [22 - 26],82.88% [82.57% - 83.18%],104,93,115,03-16-2021,projected
31,CA- CHICO,81.56,3,2,4,81.56,81.56,3 [2 - 4],81.56% [81.56% - 81.56%],10,10,10,03-16-2021,projected
33,CA- CONTRA COSTA CO.,84.29,24,23,25,83.79,84.59,24 [23 - 25],84.29% [83.79% - 84.59%],86,76,92,03-16-2021,projected
43,CA- FRESNO,87.36,58,56,60,86.79,88.06,58 [56 - 60],87.36% [86.79% - 88.06%],168,155,184,03-16-2021,projected
56,CA- LOS ANGELES,84.43,232,225,240,84.12,84.74,232 [225 - 240],84.43% [84.12% - 84.74%],1099,1021,1176,03-16-2021,projected
58,CA- MODESTO,88.55,51,48,53,87.91,89.19,51 [48 - 53],88.55% [87.91% - 89.19%],147,136,158,03-16-2021,projected
62,CA- NAPA,81.89,2,1,3,81.55,82.41,2 [1 - 3],81.89% [81.55% - 82.41%],11,9,14,03-16-2021,projected
65,CA- ALAMEDA CO.,82.72,23,22,24,82.4,82.93,23 [22 - 24],82.72% [82.4% - 82.93%],92,81,99,03-16-2021,projected
69,CA- PALM SPR/RANCHO MIR.,81.52,2,1,3,81.33,81.71,2 [1 - 3],81.52% [81.33% - 81.71%],16,14,18,03-16-2021,projected
73,CA- REDDING,82.31,14,13,14,82.22,82.4,14 [13 - 14],82.31% [82.22% - 82.4%],25,24,26,03-16-2021,projected
77,CA- SACRAMENTO,84.87,71,68,74,84.41,85.14,71 [68 - 74],84.87% [84.41% - 85.14%],233,211,246,03-16-2021,projected
78,CA- SALINAS,81.89,6,5,7,81.77,82.02,6 [5 - 7],81.89% [81.77% - 82.02%],15,14,16,03-16-2021,projected
79,CA- SAN BERNARDINO,82.91,34,32,36,82.54,83.34,34 [32 - 36],82.91% [82.54% - 83.34%],168,147,193,03-16-2021,projected
80,CA- SAN DIEGO,85.13,120,116,124,84.72,85.56,120 [116 - 124],85.13% [84.72% - 85.56%],361,332,391,03-16-2021,projected
81,CA- SAN FRANCISCO,81.62,21,20,22,81.42,81.79,21 [20 - 22],81.62% [81.42% - 81.79%],82,72,91,03-16-2021,projected
82,CA- SAN JOSE,84.49,46,44,48,84.06,84.92,46 [44 - 48],84.49% [84.06% - 84.92%],136,123,149,03-16-2021,projected
83,CA- SAN LUIS OBISPO,84.61,7,7,7,84.39,85.04,7 [7 - 7],84.61% [84.39% - 85.04%],21,20,23,03-16-2021,projected
85,CA- SAN MATEO CO.,82.11,19,18,20,81.93,82.34,19 [18 - 20],82.11% [81.93% - 82.34%],57,52,63,03-16-2021,projected
86,CA- SANTA BARBARA,84.45,14,13,14,84.04,84.76,14 [13 - 14],84.45% [84.04% - 84.76%],43,39,46,03-16-2021,projected
87,CA- SANTA CRUZ,88.36,14,13,14,87.8,89.19,14 [13 - 14],88.36% [87.8% - 89.19%],30,28,33,03-16-2021,projected
89,CA- SANTA ROSA,82.15,11,10,12,81.93,82.36,11 [10 - 12],82.15% [81.93% - 82.36%],40,36,44,03-16-2021,projected
91,CA- STOCKTON,84.99,10,9,11,84.7,85.36,10 [9 - 11],84.99% [84.7% - 85.36%],53,50,57,03-16-2021,projected
96,CA- VENTURA,84.26,16,15,17,83.94,84.64,16 [15 - 17],84.26% [83.94% - 84.64%],67,62,73,03-16-2021,projected
101,CO- BOULDER,89.05,20,19,22,88.42,90.53,20 [19 - 22],89.05% [88.42% - 90.53%],43,40,50,03-16-2021,projected
102,CO- COLORADO SPRINGS,90.92,42,40,45,89.76,91.88,42 [40 - 45],90.92% [89.76% - 91.88%],113,101,123,03-16-2021,projected
103,CO- DENVER,90.59,213,206,222,90.01,91.26,213 [206 - 222],90.59% [90.01% - 91.26%],506,478,538,03-16-2021,projected
104,CO- FORT COLLINS,89.23,28,27,29,88.45,89.55,28 [27 - 29],89.23% [88.45% - 89.55%],59,54,61,03-16-2021,projected
105,CO- GRAND JUNCTION,83.28,8,7,9,82.9,83.41,8 [7 - 9],83.28% [82.9% - 83.41%],26,23,27,03-16-2021,projected
