region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,111.7,2678,2530,2873,100.34,126.71,2678 [2530 - 2873],111.7% [100.34% - 126.71%],2677,1718,3945,12-08-2020,projected
2,AL- DOTHAN,96.57,218,204,239,89.86,106.58,218 [204 - 239],96.57% [89.86% - 106.58%],220,131,353,12-08-2020,projected
5,AL- HUNTSVILLE,131.12,947,895,1017,115.64,152.07,947 [895 - 1017],131.12% [115.64% - 152.07%],961,670,1355,12-08-2020,projected
6,AL- MOBILE,101.07,603,568,655,93.37,112.73,603 [568 - 655],101.07% [93.37% - 112.73%],602,382,935,12-08-2020,projected
7,AL- MONTGOMERY,106.13,405,383,446,96.95,122.56,405 [383 - 446],106.13% [96.95% - 122.56%],404,262,658,12-08-2020,projected
9,AL- TUSCALOOSA,128.5,485,458,524,111.96,154.35,485 [458 - 524],128.5% [111.96% - 154.35%],484,319,742,12-08-2020,projected
11,AZ- MESA,121.52,819,764,908,105.86,143.28,819 [764 - 908],121.52% [105.86% - 143.28%],822,512,1253,12-08-2020,projected
12,AZ- PHOENIX,113.16,2512,2339,2795,98.17,136.94,2512 [2339 - 2795],113.16% [98.17% - 136.94%],2512,1376,4313,12-08-2020,projected
14,AZ- SUN CITY,99.14,154,144,171,91.48,110.0,154 [144 - 171],99.14% [91.48% - 110.0%],155,93,243,12-08-2020,projected
15,AZ- TUCSON,113.91,852,797,945,99.97,134.36,852 [797 - 945],113.91% [99.97% - 134.36%],856,504,1372,12-08-2020,projected
16,AR- FORT SMITH,91.16,143,134,159,87.26,99.2,143 [134 - 159],91.16% [87.26% - 99.2%],143,93,246,12-08-2020,projected
18,AR- JONESBORO,99.58,178,168,191,92.61,109.54,178 [168 - 191],99.58% [92.61% - 109.54%],177,114,267,12-08-2020,projected
19,AR- LITTLE ROCK,94.47,834,785,903,88.85,101.99,834 [785 - 903],94.47% [88.85% - 101.99%],835,511,1269,12-08-2020,projected
21,AR- SPRINGDALE,140.17,635,599,686,118.41,171.67,635 [599 - 686],140.17% [118.41% - 171.67%],636,406,969,12-08-2020,projected
22,AR- TEXARKANA,88.47,81,76,93,84.9,95.82,81 [76 - 93],88.47% [84.9% - 95.82%],83,48,155,12-08-2020,projected
