date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
11-01-2020,4,4,5
11-02-2020,5,5,7
11-03-2020,7,7,7
11-04-2020,7,7,7
11-05-2020,7,7,7
11-06-2020,6,6,8
11-07-2020,8,8,8
11-08-2020,8,7,8
11-09-2020,9,9,9
11-10-2020,14,14,14
11-11-2020,14,14,14
11-12-2020,15,14,15
11-13-2020,16,16,16
11-14-2020,17,16,19
11-15-2020,19,16,21
11-16-2020,21,19,21
11-17-2020,21,20,25
11-18-2020,24,21,27
11-19-2020,25,21,29
11-20-2020,27,24,32
11-21-2020,29,24,34
11-22-2020,31,25,38
11-23-2020,32,27,40
11-24-2020,36,27,44
11-25-2020,36,28,47
11-26-2020,38,30,50
11-27-2020,41,30,56
11-28-2020,44,32,61
11-29-2020,48,35,68
11-30-2020,52,36,73
12-01-2020,57,39,82
12-02-2020,61,42,88
12-03-2020,66,45,97
12-04-2020,70,46,105
12-05-2020,77,54,114
12-06-2020,82,56,123
12-07-2020,89,59,133
12-08-2020,94,62,142
12-09-2020,99,66,151
12-10-2020,105,69,162
12-11-2020,112,72,173
12-12-2020,119,75,182
12-13-2020,125,80,191
12-14-2020,132,83,200
12-15-2020,138,87,207
12-16-2020,143,91,215
12-17-2020,150,94,222
12-18-2020,156,98,226
12-19-2020,160,102,231
12-20-2020,165,105,233
12-21-2020,169,108,236
12-22-2020,172,111,235
12-23-2020,175,113,236
12-24-2020,178,115,234
12-25-2020,180,118,233
12-26-2020,179,120,230
12-27-2020,178,121,228
12-28-2020,177,121,225
12-29-2020,175,122,220
12-30-2020,171,121,216
12-31-2020,167,120,212
01-01-2021,163,117,206
01-02-2021,160,114,202
