region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,100.4,1118,1054,1189,94.47,107.24,1118 [1054 - 1189],100.4% [94.47% - 107.24%],1723,1222,2300,12-21-2020,projected
2,AL- DOTHAN,95.51,145,135,152,90.92,99.95,145 [135 - 152],95.51% [90.92% - 99.95%],206,145,265,12-21-2020,projected
5,AL- HUNTSVILLE,121.97,558,527,596,107.39,139.15,558 [527 - 596],121.97% [107.39% - 139.15%],789,515,1112,12-21-2020,projected
6,AL- MOBILE,92.08,222,207,238,88.19,96.21,222 [207 - 238],92.08% [88.19% - 96.21%],345,234,463,12-21-2020,projected
7,AL- MONTGOMERY,101.86,232,217,248,95.59,109.11,232 [217 - 248],101.86% [95.59% - 109.11%],338,241,450,12-21-2020,projected
9,AL- TUSCALOOSA,107.25,180,170,193,99.04,116.37,180 [170 - 193],107.25% [99.04% - 116.37%],272,190,363,12-21-2020,projected
11,AZ- MESA,147.83,942,889,1020,123.84,180.35,942 [889 - 1020],147.83% [123.84% - 180.35%],1343,868,1987,12-21-2020,projected
12,AZ- PHOENIX,128.7,2589,2435,2829,110.57,154.46,2589 [2435 - 2829],128.7% [110.57% - 154.46%],3689,2316,5640,12-21-2020,projected
14,AZ- SUN CITY,110.86,175,165,190,100.25,125.06,175 [165 - 190],110.86% [100.25% - 125.06%],250,164,365,12-21-2020,projected
15,AZ- TUCSON,113.72,540,508,584,103.49,126.43,540 [508 - 584],113.72% [103.49% - 126.43%],851,593,1172,12-21-2020,projected
16,AR- FORT SMITH,90.85,93,88,100,87.81,94.91,93 [88 - 100],90.85% [87.81% - 94.91%],139,100,191,12-21-2020,projected
18,AR- JONESBORO,90.84,60,56,64,87.63,94.38,60 [56 - 64],90.84% [87.63% - 94.38%],98,69,130,12-21-2020,projected
19,AR- LITTLE ROCK,93.44,539,508,575,89.37,98.24,539 [508 - 575],93.44% [89.37% - 98.24%],776,541,1053,12-21-2020,projected
21,AR- SPRINGDALE,105.26,186,176,200,98.35,115.0,186 [176 - 200],105.26% [98.35% - 115.0%],267,194,370,12-21-2020,projected
22,AR- TEXARKANA,85.41,35,33,37,83.67,88.27,35 [33 - 37],85.41% [83.67% - 88.27%],53,36,81,12-21-2020,projected
23,CA- ORANGE CO.,122.4,2255,2134,2380,108.21,136.79,2255 [2134 - 2380],122.4% [108.21% - 136.79%],3244,2158,4345,12-21-2020,projected
25,CA- BAKERSFIELD,104.83,603,566,644,96.98,113.27,603 [566 - 644],104.83% [96.98% - 113.27%],898,614,1203,12-21-2020,projected
31,CA- CHICO,100.47,91,86,98,92.97,109.38,91 [86 - 98],100.47% [92.97% - 109.38%],131,83,188,12-21-2020,projected
33,CA- CONTRA COSTA CO.,95.38,190,177,205,90.48,100.77,190 [177 - 205],95.38% [90.48% - 100.77%],308,210,416,12-21-2020,projected
