date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
11-01-2020,20,20,21
11-02-2020,21,21,21
11-03-2020,20,20,21
11-04-2020,21,21,23
11-05-2020,22,21,22
11-06-2020,22,22,23
11-07-2020,23,22,23
11-08-2020,25,24,25
11-09-2020,26,26,28
11-10-2020,30,30,31
11-11-2020,32,31,32
11-12-2020,33,32,33
11-13-2020,34,34,36
11-14-2020,36,34,37
11-15-2020,37,36,38
11-16-2020,38,37,40
11-17-2020,39,38,43
11-18-2020,41,38,44
11-19-2020,43,39,47
11-20-2020,44,39,49
11-21-2020,46,40,52
11-22-2020,48,41,55
11-23-2020,49,41,57
11-24-2020,51,42,60
11-25-2020,52,43,63
11-26-2020,53,43,66
11-27-2020,53,39,69
11-28-2020,55,40,72
11-29-2020,56,39,74
11-30-2020,56,39,78
12-01-2020,56,40,80
12-02-2020,57,40,83
12-03-2020,57,40,83
12-04-2020,58,42,86
12-05-2020,57,42,82
12-06-2020,60,42,84
12-07-2020,61,41,86
12-08-2020,61,40,89
12-09-2020,62,40,91
12-10-2020,62,40,93
12-11-2020,64,40,96
12-12-2020,65,40,98
12-13-2020,66,40,99
12-14-2020,66,40,103
12-15-2020,67,40,105
12-16-2020,68,39,106
12-17-2020,69,39,109
12-18-2020,69,39,111
12-19-2020,71,39,112
12-20-2020,71,39,116
12-21-2020,72,39,117
12-22-2020,72,39,120
12-23-2020,73,39,121
12-24-2020,73,39,123
12-25-2020,74,39,125
12-26-2020,74,39,127
12-27-2020,75,38,129
12-28-2020,77,38,131
12-29-2020,77,38,133
12-30-2020,78,38,135
12-31-2020,78,38,136
01-01-2021,79,37,137
01-02-2021,79,36,138
