region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,103.51,1227,1171,1310,97.71,113.36,1227 [1171 - 1310],103.51% [97.71% - 113.36%],1985,1496,2817,01-26-2021,projected
2,AL- DOTHAN,99.5,153,149,161,98.0,101.39,153 [149 - 161],99.5% [98.0% - 101.39%],259,239,284,01-26-2021,projected
5,AL- HUNTSVILLE,100.64,177,172,184,98.78,101.81,177 [172 - 184],100.64% [98.78% - 101.81%],388,353,410,01-26-2021,projected
6,AL- MOBILE,102.51,385,373,402,99.08,106.57,385 [373 - 402],102.51% [99.08% - 106.57%],643,545,759,01-26-2021,projected
7,AL- MONTGOMERY,117.45,369,354,391,109.43,128.9,369 [354 - 391],117.45% [109.43% - 128.9%],579,455,756,01-26-2021,projected
9,AL- TUSCALOOSA,101.04,125,118,131,95.33,105.75,125 [118 - 131],101.04% [95.33% - 105.75%],210,153,257,01-26-2021,projected
11,AZ- MESA,142.12,569,549,595,137.12,147.42,569 [549 - 595],142.12% [137.12% - 147.42%],1230,1131,1335,01-26-2021,projected
12,AZ- PHOENIX,118.24,1301,1254,1357,115.22,121.47,1301 [1254 - 1357],118.24% [115.22% - 121.47%],2897,2668,3141,01-26-2021,projected
14,AZ- SUN CITY,104.69,79,76,82,102.72,106.67,79 [76 - 82],104.69% [102.72% - 106.67%],200,184,216,01-26-2021,projected
15,AZ- TUCSON,129.37,759,726,805,119.3,142.36,759 [726 - 805],129.37% [119.3% - 142.36%],1246,992,1574,01-26-2021,projected
16,AR- FORT SMITH,99.2,136,130,142,97.56,101.86,136 [130 - 142],99.2% [97.56% - 101.86%],246,225,280,01-26-2021,projected
18,AR- JONESBORO,92.06,56,54,58,91.39,92.5,56 [54 - 58],92.06% [91.39% - 92.5%],109,103,113,01-26-2021,projected
