region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,108.73,1199,1126,1270,98.91,120.14,1199 [1126 - 1270],108.73% [98.91% - 120.14%],2426,1597,3390,01-26-2021,projected
2,AL- DOTHAN,102.44,147,142,156,99.5,107.18,147 [142 - 156],102.44% [99.5% - 107.18%],298,259,361,01-26-2021,projected
5,AL- HUNTSVILLE,100.48,153,147,161,97.34,103.56,153 [147 - 161],100.48% [97.34% - 103.56%],385,326,443,01-26-2021,projected
6,AL- MOBILE,107.9,410,390,435,101.35,116.12,410 [390 - 435],107.9% [101.35% - 116.12%],797,610,1032,01-26-2021,projected
7,AL- MONTGOMERY,131.81,433,410,473,117.19,154.26,433 [410 - 473],131.81% [117.19% - 154.26%],801,575,1148,01-26-2021,projected
9,AL- TUSCALOOSA,105.95,133,125,143,96.53,114.57,133 [125 - 143],105.95% [96.53% - 114.57%],259,165,345,01-26-2021,projected
11,AZ- MESA,141.82,505,480,542,131.01,153.99,505 [480 - 542],141.82% [131.01% - 153.99%],1224,1010,1465,01-26-2021,projected
12,AZ- PHOENIX,117.33,1104,1051,1178,110.93,124.55,1104 [1051 - 1178],117.33% [110.93% - 124.55%],2828,2343,3375,01-26-2021,projected
14,AZ- SUN CITY,102.22,61,58,65,98.52,106.3,61 [58 - 65],102.22% [98.52% - 106.3%],180,150,213,01-26-2021,projected
15,AZ- TUCSON,142.44,817,773,894,123.86,169.74,817 [773 - 894],142.44% [123.86% - 169.74%],1576,1107,2265,01-26-2021,projected
16,AR- FORT SMITH,101.39,131,125,139,97.95,106.39,131 [125 - 139],101.39% [97.95% - 106.39%],274,230,338,01-26-2021,projected
18,AR- JONESBORO,93.27,53,50,56,91.17,94.82,53 [50 - 56],93.27% [91.17% - 94.82%],120,101,134,01-26-2021,projected
19,AR- LITTLE ROCK,96.22,445,425,470,92.92,99.07,445 [425 - 470],96.22% [92.92% - 99.07%],936,746,1101,01-26-2021,projected
21,AR- SPRINGDALE,123.61,234,222,248,112.07,136.48,234 [222 - 248],123.61% [112.07% - 136.48%],461,339,597,01-26-2021,projected
22,AR- TEXARKANA,98.16,91,87,96,94.08,102.65,91 [87 - 96],98.16% [94.08% - 102.65%],178,138,222,01-26-2021,projected
23,CA- ORANGE CO.,103.37,843,807,884,98.98,107.59,843 [807 - 884],103.37% [98.98% - 107.59%],1788,1452,2111,01-26-2021,projected
25,CA- BAKERSFIELD,98.53,315,301,332,95.24,101.74,315 [301 - 332],98.53% [95.24% - 101.74%],670,551,786,01-26-2021,projected
31,CA- CHICO,93.44,41,39,43,91.41,95.16,41 [39 - 43],93.44% [91.41% - 95.16%],86,73,97,01-26-2021,projected
33,CA- CONTRA COSTA CO.,95.73,132,126,139,92.73,98.52,132 [126 - 139],95.73% [92.73% - 98.52%],315,255,371,01-26-2021,projected
43,CA- FRESNO,107.6,271,259,283,103.04,111.98,271 [259 - 283],107.6% [103.04% - 111.98%],630,526,730,01-26-2021,projected
56,CA- LOS ANGELES,111.55,3889,3689,4092,101.7,121.67,3889 [3689 - 4092],111.55% [101.7% - 121.67%],7826,5383,10336,01-26-2021,projected
58,CA- MODESTO,101.35,138,131,145,97.63,105.25,138 [131 - 145],101.35% [97.63% - 105.25%],367,303,434,01-26-2021,projected
62,CA- NAPA,95.98,41,38,44,93.4,98.73,41 [38 - 44],95.98% [93.4% - 98.73%],93,78,109,01-26-2021,projected
65,CA- ALAMEDA CO.,89.74,117,110,125,87.58,91.96,117 [110 - 125],89.74% [87.58% - 91.96%],329,256,404,01-26-2021,projected
69,CA- PALM SPR/RANCHO MIR.,114.28,171,164,179,109.15,119.89,171 [164 - 179],114.28% [109.15% - 119.89%],361,307,420,01-26-2021,projected
73,CA- REDDING,86.1,34,32,36,84.9,87.21,34 [32 - 36],86.1% [84.9% - 87.21%],66,53,78,01-26-2021,projected
77,CA- SACRAMENTO,93.98,274,261,290,91.45,96.76,274 [261 - 290],93.98% [91.45% - 96.76%],669,548,802,01-26-2021,projected
78,CA- SALINAS,98.28,55,52,58,95.13,101.56,55 [52 - 58],98.28% [95.13% - 101.56%],145,120,171,01-26-2021,projected
79,CA- SAN BERNARDINO,123.17,1058,1015,1107,116.25,130.31,1058 [1015 - 1107],123.17% [116.25% - 130.31%],2496,2096,2909,01-26-2021,projected
80,CA- SAN DIEGO,110.54,977,937,1023,105.65,115.59,977 [937 - 1023],110.54% [105.65% - 115.59%],2148,1804,2503,01-26-2021,projected
81,CA- SAN FRANCISCO,85.93,129,123,135,84.85,87.02,129 [123 - 135],85.93% [84.85% - 87.02%],301,246,356,01-26-2021,projected
82,CA- SAN JOSE,101.15,322,306,338,95.07,107.07,322 [306 - 338],101.15% [95.07% - 107.07%],640,456,819,01-26-2021,projected
83,CA- SAN LUIS OBISPO,104.56,45,43,47,99.96,108.73,45 [43 - 47],104.56% [99.96% - 108.73%],112,91,131,01-26-2021,projected
85,CA- SAN MATEO CO.,90.53,127,121,134,88.57,92.46,127 [121 - 134],90.53% [88.57% - 92.46%],284,231,336,01-26-2021,projected
86,CA- SANTA BARBARA,117.68,189,180,199,108.05,127.62,189 [180 - 199],117.68% [108.05% - 127.62%],364,271,460,01-26-2021,projected
87,CA- SANTA CRUZ,126.52,88,84,93,113.43,139.33,88 [84 - 93],126.52% [113.43% - 139.33%],167,120,213,01-26-2021,projected
89,CA- SANTA ROSA,87.04,52,49,55,85.8,88.11,52 [49 - 55],87.04% [85.8% - 88.11%],131,108,151,01-26-2021,projected
