region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,80.83,237,215,266,80.34,81.5,237 [215 - 266],80.83% [80.34% - 81.5%],70,29,127,02-02-2021,projected
2,AL- DOTHAN,81.58,74,68,84,80.83,82.94,74 [68 - 84],81.58% [80.83% - 82.94%],21,11,39,02-02-2021,projected
5,AL- HUNTSVILLE,81.28,83,77,92,80.59,82.23,83 [77 - 92],81.28% [80.59% - 82.23%],24,11,42,02-02-2021,projected
6,AL- MOBILE,81.44,127,117,144,80.67,82.35,127 [117 - 144],81.44% [80.67% - 82.35%],41,19,67,02-02-2021,projected
7,AL- MONTGOMERY,81.49,79,72,89,80.65,82.72,79 [72 - 89],81.49% [80.65% - 82.72%],23,10,42,02-02-2021,projected
9,AL- TUSCALOOSA,81.6,56,52,67,81.0,83.61,56 [52 - 67],81.6% [81.0% - 83.61%],16,10,36,02-02-2021,projected
11,AZ- MESA,82.93,189,174,214,81.41,85.3,189 [174 - 214],82.93% [81.41% - 85.3%],58,28,105,02-02-2021,projected
12,AZ- PHOENIX,81.6,396,364,447,80.79,82.9,396 [364 - 447],81.6% [80.79% - 82.9%],121,60,220,02-02-2021,projected
14,AZ- SUN CITY,81.11,30,27,34,80.62,82.1,30 [27 - 34],81.11% [80.62% - 82.1%],9,5,17,02-02-2021,projected
15,AZ- TUCSON,81.31,109,100,124,80.67,82.42,109 [100 - 124],81.31% [80.67% - 82.42%],33,17,61,02-02-2021,projected
16,AR- FORT SMITH,81.41,57,52,71,80.62,83.04,57 [52 - 71],81.41% [80.62% - 83.04%],18,8,39,02-02-2021,projected
18,AR- JONESBORO,80.44,14,13,15,80.22,80.77,14 [13 - 15],80.44% [80.22% - 80.77%],4,2,7,02-02-2021,projected
19,AR- LITTLE ROCK,81.14,219,202,247,80.61,82.04,219 [202 - 247],81.14% [80.61% - 82.04%],66,35,118,02-02-2021,projected
21,AR- SPRINGDALE,81.7,62,57,70,80.85,82.93,62 [57 - 70],81.7% [80.85% - 82.93%],18,9,31,02-02-2021,projected
22,AR- TEXARKANA,85.31,178,168,189,83.27,87.45,178 [168 - 189],85.31% [83.27% - 87.45%],52,32,73,02-02-2021,projected
23,CA- ORANGE CO.,80.18,42,38,47,80.08,80.33,42 [38 - 47],80.18% [80.08% - 80.33%],14,6,25,02-02-2021,projected
25,CA- BAKERSFIELD,80.55,62,57,68,80.3,80.86,62 [57 - 68],80.55% [80.3% - 80.86%],20,11,31,02-02-2021,projected
31,CA- CHICO,80.47,7,7,8,80.31,80.78,7 [7 - 8],80.47% [80.31% - 80.78%],3,2,5,02-02-2021,projected
33,CA- CONTRA COSTA CO.,80.75,49,46,57,80.4,81.5,49 [46 - 57],80.75% [80.4% - 81.5%],15,8,30,02-02-2021,projected
43,CA- FRESNO,80.74,57,53,63,80.39,81.23,57 [53 - 63],80.74% [80.39% - 81.23%],17,9,28,02-02-2021,projected
56,CA- LOS ANGELES,80.35,263,241,291,80.17,80.58,263 [241 - 291],80.35% [80.17% - 80.58%],87,43,144,02-02-2021,projected
58,CA- MODESTO,80.87,45,41,51,80.47,81.45,45 [41 - 51],80.87% [80.47% - 81.45%],15,8,25,02-02-2021,projected
62,CA- NAPA,80.52,7,6,8,80.17,80.86,7 [6 - 8],80.52% [80.17% - 80.86%],3,1,5,02-02-2021,projected
65,CA- ALAMEDA CO.,80.56,61,56,69,80.3,81.01,61 [56 - 69],80.56% [80.3% - 81.01%],19,10,34,02-02-2021,projected
69,CA- PALM SPR/RANCHO MIR.,80.38,13,12,15,80.19,80.66,13 [12 - 15],80.38% [80.19% - 80.66%],4,2,7,02-02-2021,projected
73,CA- REDDING,80.37,14,13,16,80.18,80.65,14 [13 - 16],80.37% [80.18% - 80.65%],4,2,7,02-02-2021,projected
77,CA- SACRAMENTO,80.59,93,85,104,80.29,81.0,93 [85 - 104],80.59% [80.29% - 81.0%],28,14,48,02-02-2021,projected
78,CA- SALINAS,81.39,35,32,39,80.76,82.27,35 [32 - 39],81.39% [80.76% - 82.27%],11,6,18,02-02-2021,projected
79,CA- SAN BERNARDINO,80.67,121,111,134,80.35,81.12,121 [111 - 134],80.67% [80.35% - 81.12%],39,20,65,02-02-2021,projected
80,CA- SAN DIEGO,80.47,103,95,115,80.23,80.81,103 [95 - 115],80.47% [80.23% - 80.81%],33,16,57,02-02-2021,projected
81,CA- SAN FRANCISCO,80.22,36,33,41,80.1,80.37,36 [33 - 41],80.22% [80.1% - 80.37%],11,5,19,02-02-2021,projected
82,CA- SAN JOSE,80.43,40,36,44,80.2,80.69,40 [36 - 44],80.43% [80.2% - 80.69%],13,6,21,02-02-2021,projected
83,CA- SAN LUIS OBISPO,80.66,7,6,9,80.44,81.32,7 [6 - 9],80.66% [80.44% - 81.32%],3,2,6,02-02-2021,projected
85,CA- SAN MATEO CO.,80.33,30,27,34,80.19,80.59,30 [27 - 34],80.33% [80.19% - 80.59%],9,5,16,02-02-2021,projected
86,CA- SANTA BARBARA,80.83,28,26,31,80.41,81.55,28 [26 - 31],80.83% [80.41% - 81.55%],8,4,15,02-02-2021,projected
87,CA- SANTA CRUZ,80.56,7,7,7,80.28,80.84,7 [7 - 7],80.56% [80.28% - 80.84%],2,1,3,02-02-2021,projected
89,CA- SANTA ROSA,80.38,28,26,31,80.21,80.7,28 [26 - 31],80.38% [80.21% - 80.7%],7,4,13,02-02-2021,projected
91,CA- STOCKTON,80.66,21,19,23,80.28,81.03,21 [19 - 23],80.66% [80.28% - 81.03%],7,3,11,02-02-2021,projected
96,CA- VENTURA,81.08,53,49,59,80.57,81.78,53 [49 - 59],81.08% [80.57% - 81.78%],17,9,28,02-02-2021,projected
101,CO- BOULDER,80.63,14,13,15,80.42,81.26,14 [13 - 15],80.63% [80.42% - 81.26%],3,2,6,02-02-2021,projected
102,CO- COLORADO SPRINGS,80.39,14,13,16,80.1,80.68,14 [13 - 16],80.39% [80.1% - 80.68%],4,1,7,02-02-2021,projected
103,CO- DENVER,80.86,143,130,165,80.4,81.67,143 [130 - 165],80.86% [80.4% - 81.67%],41,19,80,02-02-2021,projected
