region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,80.25,35,33,47,80.14,80.79,35 [33 - 47],80.25% [80.14% - 80.79%],21,12,67,03-31-2021,projected
2,AL- DOTHAN,80.6,14,12,19,80.0,81.73,14 [12 - 19],80.6% [80.0% - 81.73%],8,0,23,03-31-2021,projected
5,AL- HUNTSVILLE,80.27,7,7,12,80.27,81.33,7 [7 - 12],80.27% [80.27% - 81.33%],5,5,25,03-31-2021,projected
6,AL- MOBILE,80.25,14,12,14,80.0,80.42,14 [12 - 14],80.25% [80.0% - 80.42%],7,0,12,03-31-2021,projected
7,AL- MONTGOMERY,82.13,56,51,72,80.91,86.08,56 [51 - 72],82.13% [80.91% - 86.08%],33,14,94,03-31-2021,projected
9,AL- TUSCALOOSA,80.7,14,13,15,80.3,81.3,14 [13 - 15],80.7% [80.3% - 81.3%],7,3,13,03-31-2021,projected
11,AZ- MESA,80.61,19,17,24,80.25,81.46,19 [17 - 24],80.61% [80.25% - 81.46%],12,5,29,03-31-2021,projected
12,AZ- PHOENIX,80.37,47,42,59,80.13,80.96,47 [42 - 59],80.37% [80.13% - 80.96%],28,10,73,03-31-2021,projected
14,AZ- SUN CITY,80.12,0,0,1,80.0,80.37,0 [0 - 1],80.12% [80.0% - 80.37%],1,0,3,03-31-2021,projected
15,AZ- TUCSON,80.55,25,22,29,80.16,81.11,25 [22 - 29],80.55% [80.16% - 81.11%],14,4,28,03-31-2021,projected
16,AR- FORT SMITH,80.0,0,0,3,80.0,80.94,0 [0 - 3],80.0% [80.0% - 80.94%],0,0,12,03-31-2021,projected
18,AR- JONESBORO,80.0,0,0,1,80.0,80.33,0 [0 - 1],80.0% [80.0% - 80.33%],0,0,3,03-31-2021,projected
19,AR- LITTLE ROCK,80.43,38,34,49,80.16,81.13,38 [34 - 49],80.43% [80.16% - 81.13%],25,9,65,03-31-2021,projected
21,AR- SPRINGDALE,80.47,9,7,13,80.0,81.61,9 [7 - 13],80.47% [80.0% - 81.61%],5,0,17,03-31-2021,projected
