region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,84.4,2548,2419,2703,82.88,86.24,2548 [2419 - 2703],84.4% [82.88% - 86.24%],372,243,527,12-15-2020,projected
2,AL- DOTHAN,82.56,228,216,243,81.66,83.61,228 [216 - 243],82.56% [81.66% - 83.61%],34,22,48,12-15-2020,projected
5,AL- HUNTSVILLE,89.26,1143,1084,1221,86.12,93.4,1143 [1084 - 1221],89.26% [86.12% - 93.4%],174,115,252,12-15-2020,projected
6,AL- MOBILE,83.75,726,687,775,82.38,85.46,726 [687 - 775],83.75% [82.38% - 85.46%],107,68,156,12-15-2020,projected
7,AL- MONTGOMERY,82.39,255,240,269,81.49,83.1,255 [240 - 269],82.39% [81.49% - 83.1%],37,23,48,12-15-2020,projected
9,AL- TUSCALOOSA,91.02,731,696,782,87.52,96.13,731 [696 - 782],91.02% [87.52% - 96.13%],110,75,161,12-15-2020,projected
11,AZ- MESA,104.6,3219,3002,3628,93.64,125.25,3219 [3002 - 3628],104.6% [93.64% - 125.25%],487,270,896,12-15-2020,projected
12,AZ- PHOENIX,95.14,7621,7099,8581,88.25,107.82,7621 [7099 - 8581],95.14% [88.25% - 107.82%],1147,625,2107,12-15-2020,projected
14,AZ- SUN CITY,90.86,583,543,659,85.93,100.25,583 [543 - 659],90.86% [85.93% - 100.25%],88,48,164,12-15-2020,projected
15,AZ- TUCSON,86.34,1098,1035,1196,83.84,89.94,1098 [1035 - 1196],86.34% [83.84% - 89.94%],160,97,251,12-15-2020,projected
16,AR- FORT SMITH,81.87,159,150,169,81.17,82.5,159 [150 - 169],81.87% [81.17% - 82.5%],24,15,32,12-15-2020,projected
18,AR- JONESBORO,81.88,115,109,121,81.22,82.43,115 [109 - 121],81.88% [81.22% - 82.43%],17,11,22,12-15-2020,projected
19,AR- LITTLE ROCK,82.34,909,864,973,81.56,83.45,909 [864 - 973],82.34% [81.56% - 83.45%],135,90,199,12-15-2020,projected
21,AR- SPRINGDALE,83.78,272,259,291,82.55,85.49,272 [259 - 291],83.78% [82.55% - 85.49%],40,27,58,12-15-2020,projected
22,AR- TEXARKANA,86.33,376,359,391,84.59,87.86,376 [359 - 391],86.33% [84.59% - 87.86%],62,45,77,12-15-2020,projected
23,CA- ORANGE CO.,85.14,2663,2535,2798,83.75,86.46,2663 [2535 - 2798],85.14% [83.75% - 86.46%],393,287,494,12-15-2020,projected
25,CA- BAKERSFIELD,84.42,1084,1026,1143,82.82,86.06,1084 [1026 - 1143],84.42% [82.82% - 86.06%],160,102,219,12-15-2020,projected
31,CA- CHICO,81.09,49,47,53,80.78,81.72,49 [47 - 53],81.09% [80.78% - 81.72%],7,5,11,12-15-2020,projected
33,CA- CONTRA COSTA CO.,81.05,142,133,152,80.65,81.45,142 [133 - 152],81.05% [80.65% - 81.45%],21,13,29,12-15-2020,projected
43,CA- FRESNO,84.86,736,698,784,83.2,86.96,736 [698 - 784],84.86% [83.2% - 86.96%],111,73,159,12-15-2020,projected
56,CA- LOS ANGELES,95.85,24403,23704,24972,93.03,98.14,24.40K [23.70K - 24.97K],95.85% [93.03% - 98.14%],3931,3232,4500,12-15-2020,projected
58,CA- MODESTO,89.37,1088,1038,1137,86.46,92.04,1088 [1038 - 1137],89.37% [86.46% - 92.04%],161,111,207,12-15-2020,projected
62,CA- NAPA,84.12,152,143,163,82.58,86.01,152 [143 - 163],84.12% [82.58% - 86.01%],24,15,35,12-15-2020,projected
65,CA- ALAMEDA CO.,85.71,1190,1116,1277,83.52,88.29,1190 [1116 - 1277],85.71% [83.52% - 88.29%],193,119,280,12-15-2020,projected
69,CA- PALM SPR/RANCHO MIR.,95.38,947,919,967,92.73,97.28,947 [919 - 967],95.38% [92.73% - 97.28%],162,134,182,12-15-2020,projected
73,CA- REDDING,81.94,145,137,153,81.29,82.5,145 [137 - 153],81.94% [81.29% - 82.5%],21,14,27,12-15-2020,projected
