region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,83.47,166,155,186,82.53,85.23,166 [155 - 186],83.47% [82.53% - 85.23%],293,214,442,03-03-2021,projected
2,AL- DOTHAN,80.83,7,6,8,80.3,81.58,7 [6 - 8],80.83% [80.3% - 81.58%],11,4,21,03-03-2021,projected
5,AL- HUNTSVILLE,84.15,35,33,40,82.34,85.53,35 [33 - 40],84.15% [82.34% - 85.53%],78,44,104,03-03-2021,projected
6,AL- MOBILE,83.78,62,59,67,82.87,85.18,62 [59 - 67],83.78% [82.87% - 85.18%],108,82,148,03-03-2021,projected
7,AL- MONTGOMERY,82.52,21,20,23,82.13,83.49,21 [20 - 23],82.52% [82.13% - 83.49%],39,33,54,03-03-2021,projected
9,AL- TUSCALOOSA,83.41,21,20,23,82.81,84.71,21 [20 - 23],83.41% [82.81% - 84.71%],34,28,47,03-03-2021,projected
11,AZ- MESA,85.1,49,47,52,83.94,86.57,49 [47 - 52],85.1% [83.94% - 86.57%],101,78,130,03-03-2021,projected
12,AZ- PHOENIX,83.21,119,113,127,82.44,84.32,119 [113 - 127],83.21% [82.44% - 84.32%],243,185,327,03-03-2021,projected
14,AZ- SUN CITY,81.85,7,7,8,81.48,82.35,7 [7 - 8],81.85% [81.48% - 82.35%],15,12,19,03-03-2021,projected
15,AZ- TUCSON,82.93,37,34,40,82.34,83.84,37 [34 - 40],82.93% [82.34% - 83.84%],74,59,97,03-03-2021,projected
16,AR- FORT SMITH,81.48,11,9,12,81.01,81.95,11 [9 - 12],81.48% [81.01% - 81.95%],19,13,25,03-03-2021,projected
18,AR- JONESBORO,80.33,0,0,2,80.0,82.65,0 [0 - 2],80.33% [80.0% - 82.65%],3,0,24,03-03-2021,projected
19,AR- LITTLE ROCK,82.55,91,83,111,81.75,84.95,91 [83 - 111],82.55% [81.75% - 84.95%],147,101,286,03-03-2021,projected
21,AR- SPRINGDALE,85.68,34,32,38,83.6,87.95,34 [32 - 38],85.68% [83.6% - 87.95%],60,38,84,03-03-2021,projected
22,AR- TEXARKANA,82.35,14,12,17,82.35,83.88,14 [12 - 17],82.35% [82.35% - 83.88%],23,23,38,03-03-2021,projected
23,CA- ORANGE CO.,81.07,37,35,39,80.8,81.36,37 [35 - 39],81.07% [80.8% - 81.36%],82,61,104,03-03-2021,projected
25,CA- BAKERSFIELD,81.55,24,22,26,81.08,81.99,24 [22 - 26],81.55% [81.08% - 81.99%],56,39,72,03-03-2021,projected
31,CA- CHICO,81.09,1,0,2,80.62,81.09,1 [0 - 2],81.09% [80.62% - 81.09%],7,4,7,03-03-2021,projected
33,CA- CONTRA COSTA CO.,82.4,25,23,27,81.85,83.2,25 [23 - 27],82.4% [81.85% - 83.2%],48,37,64,03-03-2021,projected
43,CA- FRESNO,82.85,31,29,33,82.19,83.64,31 [29 - 33],82.85% [82.19% - 83.64%],65,50,83,03-03-2021,projected
56,CA- LOS ANGELES,81.64,178,169,187,81.24,82.05,178 [169 - 187],81.64% [81.24% - 82.05%],408,308,509,03-03-2021,projected
