date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
11-01-2020,13,13,14
11-02-2020,15,15,16
11-03-2020,17,17,17
11-04-2020,17,17,17
11-05-2020,17,17,17
11-06-2020,17,17,18
11-07-2020,18,18,19
11-08-2020,21,21,21
11-09-2020,21,21,22
11-10-2020,24,23,24
11-11-2020,24,24,24
11-12-2020,26,26,27
11-13-2020,27,27,27
11-14-2020,28,28,29
11-15-2020,30,29,31
11-16-2020,31,30,33
11-17-2020,33,31,35
11-18-2020,34,32,37
11-19-2020,36,32,39
11-20-2020,38,34,41
11-21-2020,40,35,43
11-22-2020,41,35,46
11-23-2020,42,36,48
11-24-2020,43,36,51
11-25-2020,46,37,54
11-26-2020,46,38,57
11-27-2020,48,38,61
11-28-2020,50,38,64
11-29-2020,52,39,68
11-30-2020,53,40,70
12-01-2020,55,40,74
12-02-2020,58,41,78
12-03-2020,60,42,81
12-04-2020,62,43,86
12-05-2020,64,43,89
12-06-2020,67,44,93
12-07-2020,69,45,97
12-08-2020,70,45,102
12-09-2020,73,46,107
12-10-2020,75,46,112
12-11-2020,78,47,116
12-12-2020,80,47,120
12-13-2020,82,47,125
12-14-2020,84,48,129
12-15-2020,86,49,134
12-16-2020,88,49,139
12-17-2020,89,49,143
12-18-2020,91,50,148
12-19-2020,93,50,153
12-20-2020,94,50,157
12-21-2020,96,50,161
12-22-2020,97,51,165
12-23-2020,98,51,169
12-24-2020,100,51,172
12-25-2020,101,51,175
12-26-2020,102,52,178
12-27-2020,103,52,182
12-28-2020,104,52,184
12-29-2020,104,52,186
12-30-2020,105,52,188
12-31-2020,105,52,189
01-01-2021,104,52,190
01-02-2021,104,52,190
