region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,82.55,132,123,152,81.54,84.44,132 [123 - 152],82.55% [81.54% - 84.44%],215,130,375,03-03-2021
2,AL- DOTHAN,80.68,7,6,8,80.0,81.05,7 [6 - 8],80.68% [80.0% - 81.05%],9,0,14,03-03-2021
5,AL- HUNTSVILLE,82.45,26,24,30,81.38,84.04,26 [24 - 30],82.45% [81.38% - 84.04%],46,26,76,03-03-2021
6,AL- MOBILE,82.8,51,48,55,81.93,84.17,51 [48 - 55],82.8% [81.93% - 84.17%],80,55,119,03-03-2021
7,AL- MONTGOMERY,81.88,16,14,17,81.36,82.52,16 [14 - 17],81.88% [81.36% - 82.52%],29,21,39,03-03-2021
9,AL- TUSCALOOSA,82.61,15,14,17,81.8,83.91,15 [14 - 17],82.61% [81.8% - 83.91%],26,18,39,03-03-2021
11,AZ- MESA,83.13,33,31,36,82.22,84.39,33 [31 - 36],83.13% [82.22% - 84.39%],62,44,87,03-03-2021
12,AZ- PHOENIX,82.01,85,79,92,81.48,82.84,85 [79 - 92],82.01% [81.48% - 82.84%],152,112,215,03-03-2021
14,AZ- SUN CITY,81.11,7,6,7,80.74,81.48,7 [6 - 7],81.11% [80.74% - 81.48%],9,6,12,03-03-2021
15,AZ- TUCSON,81.9,26,25,29,81.23,82.69,26 [25 - 29],81.9% [81.23% - 82.69%],48,31,68,03-03-2021
16,AR- FORT SMITH,80.94,1,0,3,80.16,81.41,1 [0 - 3],80.94% [80.16% - 81.41%],12,2,18,03-03-2021
18,AR- JONESBORO,80.0,0,0,2,80.0,81.99,0 [0 - 2],80.0% [80.0% - 81.99%],0,0,18,03-03-2021
19,AR- LITTLE ROCK,81.94,66,60,87,80.97,84.73,66 [60 - 87],81.94% [80.97% - 84.73%],112,56,273,03-03-2021
21,AR- SPRINGDALE,83.97,28,26,32,82.55,86.91,28 [26 - 32],83.97% [82.55% - 86.91%],42,27,73,03-03-2021
22,AR- TEXARKANA,82.04,14,12,17,81.02,83.88,14 [12 - 17],82.04% [81.02% - 83.88%],20,10,38,03-03-2021
23,CA- ORANGE CO.,80.6,24,22,26,80.41,80.82,24 [22 - 26],80.6% [80.41% - 80.82%],46,31,63,03-03-2021
25,CA- BAKERSFIELD,80.88,14,12,16,80.5,81.22,14 [12 - 16],80.88% [80.5% - 81.22%],32,18,44,03-03-2021
31,CA- CHICO,80.16,0,0,1,80.0,80.94,0 [0 - 1],80.16% [80.0% - 80.94%],1,0,6,03-03-2021
33,CA- CONTRA COSTA CO.,81.6,15,14,18,81.05,82.3,15 [14 - 18],81.6% [81.05% - 82.3%],32,21,46,03-03-2021
43,CA- FRESNO,81.8,21,19,23,81.05,82.37,21 [19 - 23],81.8% [81.05% - 82.37%],41,24,54,03-03-2021
56,CA- LOS ANGELES,80.93,112,105,120,80.61,81.23,112 [105 - 120],80.93% [80.61% - 81.23%],230,151,305,03-03-2021
58,CA- MODESTO,82.39,20,18,23,81.51,83.55,20 [18 - 23],82.39% [81.51% - 83.55%],41,26,61,03-03-2021
62,CA- NAPA,81.89,2,1,3,80.0,82.23,2 [1 - 3],81.89% [80.0% - 82.23%],11,0,13,03-03-2021
65,CA- ALAMEDA CO.,80.44,7,6,8,80.27,80.56,7 [6 - 8],80.44% [80.27% - 80.56%],15,9,19,03-03-2021
69,CA- PALM SPR/RANCHO MIR.,80.28,0,0,0,80.19,80.38,0 [0 - 0],80.28% [80.19% - 80.38%],3,2,4,03-03-2021
73,CA- REDDING,81.85,7,6,9,80.74,82.4,7 [6 - 9],81.85% [80.74% - 82.4%],20,8,26,03-03-2021
77,CA- SACRAMENTO,81.38,38,34,41,80.92,81.9,38 [34 - 41],81.38% [80.92% - 81.9%],66,44,91,03-03-2021
