region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,88.96,991,955,1027,87.74,90.14,991 [955 - 1027],88.96% [87.74% - 90.14%],757,654,856,01-19-2021
2,AL- DOTHAN,92.42,227,218,238,89.34,95.96,227 [218 - 238],92.42% [89.34% - 95.96%],165,124,212,01-19-2021
5,AL- HUNTSVILLE,90.21,244,235,253,88.83,91.76,244 [235 - 253],90.21% [88.83% - 91.76%],192,166,221,01-19-2021
6,AL- MOBILE,91.2,445,429,463,88.65,93.79,445 [429 - 463],91.2% [88.65% - 93.79%],320,247,394,01-19-2021
7,AL- MONTGOMERY,91.45,242,231,253,89.18,93.13,242 [231 - 253],91.45% [89.18% - 93.13%],177,142,203,01-19-2021
9,AL- TUSCALOOSA,87.62,101,98,107,86.31,89.42,101 [98 - 107],87.62% [86.31% - 89.42%],76,63,94,01-19-2021
11,AZ- MESA,114.09,856,823,892,109.04,118.84,856 [823 - 892],114.09% [109.04% - 118.84%],675,575,769,01-19-2021
12,AZ- PHOENIX,101.33,2060,1981,2145,98.19,104.22,2060 [1981 - 2145],101.33% [98.19% - 104.22%],1616,1378,1835,01-19-2021
14,AZ- SUN CITY,94.07,145,139,151,92.1,96.05,145 [139 - 151],94.07% [92.1% - 96.05%],114,98,130,01-19-2021
15,AZ- TUCSON,105.59,898,863,946,99.22,113.52,898 [863 - 946],105.59% [99.22% - 113.52%],646,485,846,01-19-2021
16,AR- FORT SMITH,97.56,311,299,323,93.82,101.55,311 [299 - 323],97.56% [93.82% - 101.55%],225,177,276,01-19-2021
18,AR- JONESBORO,87.19,90,86,93,85.75,88.41,90 [86 - 93],87.19% [85.75% - 88.41%],65,52,76,01-19-2021
19,AR- LITTLE ROCK,88.66,699,675,725,86.81,90.65,699 [675 - 725],88.66% [86.81% - 90.65%],500,393,615,01-19-2021
21,AR- SPRINGDALE,118.32,548,528,573,110.27,128.16,548 [528 - 573],118.32% [110.27% - 128.16%],405,320,509,01-19-2021
22,AR- TEXARKANA,87.65,103,99,107,85.82,89.18,103 [99 - 107],87.65% [85.82% - 89.18%],75,57,90,01-19-2021
23,CA- ORANGE CO.,96.59,1773,1717,1836,93.29,100.22,1773 [1717 - 1836],96.59% [93.29% - 100.22%],1269,1017,1547,01-19-2021
25,CA- BAKERSFIELD,91.67,588,566,610,88.99,94.44,588 [566 - 610],91.67% [88.99% - 94.44%],422,325,522,01-19-2021
31,CA- CHICO,87.03,60,58,62,86.41,87.97,60 [58 - 62],87.03% [86.41% - 87.97%],45,41,51,01-19-2021
33,CA- CONTRA COSTA CO.,96.13,441,425,459,92.73,99.97,441 [425 - 459],96.13% [92.73% - 99.97%],323,255,400,01-19-2021
