date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
01-10-2021,76,76,79
01-11-2021,73,73,74
01-12-2021,68,68,69
01-13-2021,63,61,64
01-14-2021,61,60,62
01-15-2021,59,58,60
01-16-2021,59,59,60
01-17-2021,55,55,56
01-18-2021,52,52,53
01-19-2021,51,51,53
01-20-2021,52,50,53
01-21-2021,50,48,52
01-22-2021,49,46,51
01-23-2021,48,44,51
01-24-2021,47,42,50
01-25-2021,46,40,49
01-26-2021,44,39,49
01-27-2021,43,37,49
01-28-2021,42,34,49
01-29-2021,41,32,48
01-30-2021,40,30,47
01-31-2021,39,28,46
02-01-2021,38,27,47
02-02-2021,38,26,47
02-03-2021,35,25,46
02-04-2021,35,23,45
02-05-2021,33,22,45
02-06-2021,33,19,45
02-07-2021,31,19,44
02-08-2021,30,18,44
02-09-2021,29,17,44
02-10-2021,29,16,42
02-11-2021,28,15,41
02-12-2021,26,13,42
02-13-2021,26,13,40
02-14-2021,24,13,40
02-15-2021,24,11,39
02-16-2021,23,11,38
02-17-2021,21,11,38
02-18-2021,21,10,37
02-19-2021,20,7,36
02-20-2021,19,7,36
02-21-2021,19,7,35
02-22-2021,18,7,34
02-23-2021,17,7,33
02-24-2021,16,5,31
02-25-2021,15,5,30
02-26-2021,14,4,29
02-27-2021,14,4,28
02-28-2021,14,4,28
03-01-2021,13,4,27
03-02-2021,11,4,26
03-03-2021,11,4,25
03-04-2021,10,4,24
03-05-2021,10,2,23
03-06-2021,9,2,22
03-07-2021,9,2,21
03-08-2021,8,2,20
03-09-2021,7,2,20
03-10-2021,7,1,18
03-11-2021,7,1,18
03-12-2021,7,1,18
03-13-2021,6,1,16
