region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,90.56,2061,1942,2229,86.36,96.49,2061 [1942 - 2229],90.56% [86.36% - 96.49%],892,537,1393,01-13-2021
2,AL- DOTHAN,97.39,527,495,569,90.39,106.36,527 [495 - 569],97.39% [90.39% - 106.36%],231,138,350,01-13-2021
5,AL- HUNTSVILLE,91.91,513,481,553,86.97,98.35,513 [481 - 553],91.91% [86.97% - 98.35%],224,131,345,01-13-2021
6,AL- MOBILE,90.43,686,644,744,86.06,96.45,686 [644 - 744],90.43% [86.06% - 96.45%],298,173,470,01-13-2021
7,AL- MONTGOMERY,110.4,1036,984,1105,100.38,123.73,1036 [984 - 1105],110.4% [100.38% - 123.73%],470,315,676,01-13-2021
9,AL- TUSCALOOSA,89.82,225,212,244,86.11,95.23,225 [212 - 244],89.82% [86.11% - 95.23%],98,61,152,01-13-2021
11,AZ- MESA,143.13,2550,2286,3036,102.83,217.12,2550 [2286 - 3036],143.13% [102.83% - 217.12%],1250,452,2715,01-13-2021
12,AZ- PHOENIX,114.42,5356,4811,6359,92.63,154.28,5356 [4811 - 6359],114.42% [92.63% - 154.28%],2607,957,5627,01-13-2021
14,AZ- SUN CITY,106.17,429,383,512,89.26,137.28,429 [383 - 512],106.17% [89.26% - 137.28%],212,75,464,01-13-2021
15,AZ- TUCSON,102.46,1298,1181,1529,89.63,126.99,1298 [1181 - 1529],102.46% [89.63% - 126.99%],567,243,1186,01-13-2021
16,AR- FORT SMITH,109.82,876,829,930,98.89,121.76,876 [829 - 930],109.82% [98.89% - 121.76%],382,242,535,01-13-2021
18,AR- JONESBORO,86.75,140,133,153,84.31,90.84,140 [133 - 153],86.75% [84.31% - 90.84%],61,39,98,01-13-2021
19,AR- LITTLE ROCK,89.08,1215,1147,1309,85.58,93.93,1215 [1147 - 1309],89.08% [85.58% - 93.93%],524,322,804,01-13-2021
21,AR- SPRINGDALE,100.81,508,477,546,92.11,111.41,508 [477 - 546],100.81% [92.11% - 111.41%],220,128,332,01-13-2021
22,AR- TEXARKANA,86.73,143,133,156,83.78,90.51,143 [133 - 156],86.73% [83.78% - 90.51%],66,37,103,01-13-2021
23,CA- ORANGE CO.,86.22,1089,1019,1164,83.62,89.02,1089 [1019 - 1164],86.22% [83.62% - 89.02%],476,277,690,01-13-2021
25,CA- BAKERSFIELD,86.69,540,512,568,84.37,89.02,540 [512 - 568],86.69% [84.37% - 89.02%],242,158,326,01-13-2021
31,CA- CHICO,86.56,98,92,106,83.59,89.84,98 [92 - 106],86.56% [83.59% - 89.84%],42,23,63,01-13-2021
33,CA- CONTRA COSTA CO.,88.79,404,383,426,85.69,92.18,404 [383 - 426],88.79% [85.69% - 92.18%],176,114,244,01-13-2021
43,CA- FRESNO,109.57,1385,1329,1414,101.55,114.03,1385 [1329 - 1414],109.57% [101.55% - 114.03%],675,492,777,01-13-2021
56,CA- LOS ANGELES,82.47,1310,1215,1428,81.32,83.83,1310 [1215 - 1428],82.47% [81.32% - 83.83%],612,328,951,01-13-2021
58,CA- MODESTO,91.63,453,431,475,87.74,95.53,453 [431 - 475],91.63% [87.74% - 95.53%],200,133,267,01-13-2021
62,CA- NAPA,91.17,149,139,162,86.87,97.35,149 [139 - 162],91.17% [86.87% - 97.35%],65,40,101,01-13-2021
65,CA- ALAMEDA CO.,83.82,299,280,323,82.13,85.89,299 [280 - 323],83.82% [82.13% - 85.89%],129,72,199,01-13-2021
69,CA- PALM SPR/RANCHO MIR.,84.18,97,91,103,82.47,85.98,97 [91 - 103],84.18% [82.47% - 85.98%],44,26,63,01-13-2021
73,CA- REDDING,83.33,80,74,87,81.85,85.08,80 [74 - 87],83.33% [81.85% - 85.08%],36,20,55,01-13-2021
77,CA- SACRAMENTO,91.33,1235,1157,1317,86.54,96.45,1235 [1157 - 1317],91.33% [86.54% - 96.45%],542,313,787,01-13-2021
78,CA- SALINAS,89.33,167,158,177,85.93,92.99,167 [158 - 177],89.33% [85.93% - 92.99%],74,47,103,01-13-2021
79,CA- SAN BERNARDINO,86.73,844,791,896,84.03,89.46,844 [791 - 896],86.73% [84.03% - 89.46%],389,233,547,01-13-2021
80,CA- SAN DIEGO,88.64,1382,1293,1477,84.99,92.6,1382 [1293 - 1477],88.64% [84.99% - 92.6%],608,351,886,01-13-2021
81,CA- SAN FRANCISCO,87.08,815,767,884,84.26,91.1,815 [767 - 884],87.08% [84.26% - 91.1%],359,216,563,01-13-2021
82,CA- SAN JOSE,85.45,381,353,409,82.81,88.2,381 [353 - 409],85.45% [82.81% - 88.2%],165,85,248,01-13-2021
83,CA- SAN LUIS OBISPO,99.74,206,195,217,92.28,106.97,206 [195 - 217],99.74% [92.28% - 106.97%],90,56,123,01-13-2021
85,CA- SAN MATEO CO.,82.63,167,156,179,81.48,83.89,167 [156 - 179],82.63% [81.48% - 83.89%],71,40,105,01-13-2021
86,CA- SANTA BARBARA,104.02,529,504,554,96.15,111.78,529 [504 - 554],104.02% [96.15% - 111.78%],232,156,307,01-13-2021
87,CA- SANTA CRUZ,88.08,66,61,72,84.18,91.7,66 [61 - 72],88.08% [84.18% - 91.7%],29,15,42,01-13-2021
89,CA- SANTA ROSA,83.44,145,137,158,82.1,85.37,145 [137 - 158],83.44% [82.1% - 85.37%],64,39,100,01-13-2021
91,CA- STOCKTON,86.77,168,157,181,83.86,89.97,168 [157 - 181],86.77% [83.86% - 89.97%],72,41,106,01-13-2021
96,CA- VENTURA,91.25,398,371,427,86.29,96.66,398 [371 - 427],91.25% [86.29% - 96.66%],177,99,262,01-13-2021
101,CO- BOULDER,85.26,57,53,62,82.95,88.63,57 [53 - 62],85.26% [82.95% - 88.63%],25,14,41,01-13-2021
102,CO- COLORADO SPRINGS,86.28,150,137,170,82.9,92.08,150 [137 - 170],86.28% [82.9% - 92.08%],65,30,125,01-13-2021
103,CO- DENVER,88.42,920,862,1029,84.79,95.05,920 [862 - 1029],88.42% [84.79% - 95.05%],402,229,719,01-13-2021
104,CO- FORT COLLINS,87.36,104,96,121,83.76,95.18,104 [96 - 121],87.36% [83.76% - 95.18%],47,24,97,01-13-2021
105,CO- GRAND JUNCTION,88.96,163,152,183,84.92,96.04,163 [152 - 183],88.96% [84.92% - 96.04%],71,39,127,01-13-2021
106,CO- GREELEY,84.5,81,76,90,82.7,87.72,81 [76 - 90],84.5% [82.7% - 87.72%],35,21,60,01-13-2021
107,CO- PUEBLO,80.75,14,13,17,80.5,81.75,14 [13 - 17],80.75% [80.5% - 81.75%],6,4,14,01-13-2021
109,CT- BRIDGEPORT,85.25,204,190,220,82.83,88.02,204 [190 - 220],85.25% [82.83% - 88.02%],89,48,136,01-13-2021
110,CT- HARTFORD,88.42,628,590,684,84.94,93.39,628 [590 - 684],88.42% [84.94% - 93.39%],274,161,436,01-13-2021
111,CT- NEW HAVEN,85.69,500,467,541,83.17,88.83,500 [467 - 541],85.69% [83.17% - 88.83%],219,122,340,01-13-2021
112,DE- WILMINGTON,87.09,303,285,330,84.35,91.22,303 [285 - 330],87.09% [84.35% - 91.22%],132,81,209,01-13-2021
113,DC- WASHINGTON,90.73,1364,1282,1499,86.25,97.94,1364 [1282 - 1499],90.73% [86.25% - 97.94%],589,343,985,01-13-2021
115,FL- BRADENTON,96.64,263,245,287,89.03,106.52,263 [245 - 287],96.64% [89.03% - 106.52%],118,64,188,01-13-2021
116,FL- CLEARWATER,92.65,459,426,502,86.9,100.28,459 [426 - 502],92.65% [86.9% - 100.28%],207,113,332,01-13-2021
118,FL- FORT LAUDERDALE,90.71,2087,1937,2279,85.68,97.14,2087 [1937 - 2279],90.71% [85.68% - 97.14%],932,494,1491,01-13-2021
119,FL- FORT MYERS,96.99,1449,1353,1651,89.57,112.33,1449 [1353 - 1651],96.99% [89.57% - 112.33%],650,366,1237,01-13-2021
120,FL- GAINESVILLE,107.92,1123,1050,1233,96.35,125.46,1123 [1050 - 1233],107.92% [96.35% - 125.46%],514,301,837,01-13-2021
122,FL- HUDSON,100.29,547,505,620,90.78,116.74,547 [505 - 620],100.29% [90.78% - 116.74%],254,135,460,01-13-2021
123,FL- JACKSONVILLE,114.36,3807,3574,4151,100.4,135.07,3807 [3574 - 4151],114.36% [100.4% - 135.07%],1688,1002,2705,01-13-2021
124,FL- LAKELAND,113.05,785,735,873,99.57,137.49,785 [735 - 873],113.05% [99.57% - 137.49%],353,209,614,01-13-2021
127,FL- MIAMI,92.99,3171,2956,3428,87.19,100.01,3171 [2956 - 3428],92.99% [87.19% - 100.01%],1401,775,2157,01-13-2021
129,FL- OCALA,100.39,609,563,671,90.75,113.63,609 [563 - 671],100.39% [90.75% - 113.63%],279,147,460,01-13-2021
130,FL- ORLANDO,103.96,5458,5072,6050,93.24,120.61,5458 [5072 - 6050],103.96% [93.24% - 120.61%],2483,1372,4208,01-13-2021
131,FL- ORMOND BEACH,102.25,809,755,908,92.76,119.66,809 [755 - 908],102.25% [92.76% - 119.66%],368,211,656,01-13-2021
133,FL- PANAMA CITY,95.21,224,207,241,88.13,102.74,224 [207 - 241],95.21% [88.13% - 102.74%],101,54,151,01-13-2021
134,FL- PENSACOLA,99.75,1041,973,1128,91.15,110.57,1041 [973 - 1128],99.75% [91.15% - 110.57%],464,262,718,01-13-2021
137,FL- SARASOTA,90.66,342,316,373,85.61,97.02,342 [316 - 373],90.66% [85.61% - 97.02%],154,81,246,01-13-2021
139,FL- ST PETERSBURG,90.58,374,347,409,85.76,96.9,374 [347 - 409],90.58% [85.76% - 96.9%],169,92,270,01-13-2021
140,FL- TALLAHASSEE,103.17,1385,1296,1486,93.68,114.41,1385 [1296 - 1486],103.17% [93.68% - 114.41%],625,369,928,01-13-2021
141,FL- TAMPA,89.98,938,865,1050,85.02,97.49,938 [865 - 1050],89.98% [85.02% - 97.49%],425,214,745,01-13-2021
142,GA- ALBANY,97.59,399,383,415,92.89,102.2,399 [383 - 415],97.59% [92.89% - 102.2%],187,137,236,01-13-2021
144,GA- ATLANTA,100.58,5741,5415,6107,92.49,109.6,5741 [5415 - 6107],100.58% [92.49% - 109.6%],2465,1496,3546,01-13-2021
145,GA- AUGUSTA,90.1,575,541,612,86.19,94.18,575 [541 - 612],90.1% [86.19% - 94.18%],248,152,348,01-13-2021
146,GA- COLUMBUS,100.81,603,568,647,93.03,110.82,603 [568 - 647],100.81% [93.03% - 110.82%],262,164,388,01-13-2021
147,GA- MACON,96.14,840,793,889,90.06,101.87,840 [793 - 889],96.14% [90.06% - 101.87%],361,225,489,01-13-2021
148,GA- ROME,91.75,200,188,215,87.1,97.35,200 [188 - 215],91.75% [87.1% - 97.35%],86,52,127,01-13-2021
149,GA- SAVANNAH,99.19,902,852,979,92.0,110.27,902 [852 - 979],99.19% [92.0% - 110.27%],395,247,623,01-13-2021
151,ID- BOISE,85.73,272,251,315,82.7,91.84,272 [251 - 315],85.73% [82.7% - 91.84%],119,56,246,01-13-2021
152,ID- IDAHO FALLS,83.47,35,33,42,82.17,86.94,35 [33 - 42],83.47% [82.17% - 86.94%],16,10,32,01-13-2021
154,IL- AURORA,86.45,77,72,85,83.61,90.06,77 [72 - 85],86.45% [83.61% - 90.06%],34,19,53,01-13-2021
155,IL- BLUE ISLAND,82.92,170,159,187,81.7,84.89,170 [159 - 187],82.92% [81.7% - 84.89%],74,43,124,01-13-2021
156,IL- CHICAGO,82.75,542,509,590,81.61,84.43,542 [509 - 590],82.75% [81.61% - 84.43%],235,138,379,01-13-2021
158,IL- ELGIN,86.91,173,162,191,83.96,91.69,173 [162 - 191],86.91% [83.96% - 91.69%],75,43,127,01-13-2021
161,IL- EVANSTON,84.06,227,213,251,82.4,86.91,227 [213 - 251],84.06% [82.4% - 86.91%],98,58,167,01-13-2021
163,IL- HINSDALE,85.36,136,127,154,83.09,90.18,136 [127 - 154],85.36% [83.09% - 90.18%],59,34,112,01-13-2021
164,IL- JOLIET,89.13,273,255,321,85.13,99.98,273 [255 - 321],89.13% [85.13% - 99.98%],121,68,265,01-13-2021
166,IL- MELROSE PARK,84.1,293,275,319,82.39,86.59,293 [275 - 319],84.1% [82.39% - 86.59%],127,74,204,01-13-2021
