date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
12-27-2020,53,50,57
12-28-2020,54,52,55
12-29-2020,55,54,57
12-30-2020,57,55,60
12-31-2020,59,55,61
01-01-2021,68,65,70
01-02-2021,70,68,71
01-03-2021,71,70,73
01-04-2021,71,68,73
01-05-2021,83,81,85
01-06-2021,83,82,85
01-07-2021,84,80,86
01-08-2021,84,80,88
01-09-2021,84,78,89
01-10-2021,84,77,93
01-11-2021,83,75,95
01-12-2021,83,74,98
01-13-2021,84,73,102
01-14-2021,84,72,104
01-15-2021,84,71,108
01-16-2021,85,70,110
01-17-2021,84,68,113
01-18-2021,85,65,116
01-19-2021,84,64,120
01-20-2021,84,63,124
01-21-2021,83,60,129
01-22-2021,84,60,132
01-23-2021,85,58,138
01-24-2021,85,57,142
01-25-2021,86,57,145
01-26-2021,86,56,149
01-27-2021,86,56,153
01-28-2021,87,55,157
01-29-2021,86,55,161
01-30-2021,86,55,165
01-31-2021,86,55,169
02-01-2021,87,54,173
02-02-2021,88,53,179
02-03-2021,88,52,183
02-04-2021,89,52,187
02-05-2021,89,51,192
02-06-2021,90,51,198
02-07-2021,90,51,202
02-08-2021,91,51,206
02-09-2021,91,51,211
02-10-2021,92,52,216
02-11-2021,93,52,220
02-12-2021,94,52,225
02-13-2021,95,53,230
02-14-2021,96,54,233
02-15-2021,98,55,237
02-16-2021,100,55,243
02-17-2021,101,55,246
02-18-2021,102,56,249
02-19-2021,103,56,253
02-20-2021,105,56,256
02-21-2021,107,56,259
02-22-2021,108,57,262
02-23-2021,109,57,263
02-24-2021,110,58,268
02-25-2021,112,58,269
02-26-2021,114,58,271
02-27-2021,115,59,274
