region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,83.84,202,187,246,81.98,88.1,202 [187 - 246],83.84% [81.98% - 88.1%],324,167,684,10-06-2020
2,AL- DOTHAN,88.28,74,67,90,84.14,99.43,74 [67 - 90],88.28% [84.14% - 99.43%],110,55,258,10-06-2020
5,AL- HUNTSVILLE,84.2,49,46,57,82.18,87.61,49 [46 - 57],84.2% [82.18% - 87.61%],79,41,143,10-06-2020
6,AL- MOBILE,94.53,264,241,347,86.09,122.0,264 [241 - 347],94.53% [86.09% - 122.0%],415,174,1200,10-06-2020
7,AL- MONTGOMERY,82.33,21,19,25,80.78,84.14,21 [19 - 25],82.33% [80.78% - 84.14%],36,12,64,10-06-2020
9,AL- TUSCALOOSA,95.03,89,78,126,84.11,123.69,89 [78 - 126],95.03% [84.11% - 123.69%],150,41,436,10-06-2020
11,AZ- MESA,82.78,35,32,40,81.57,84.85,35 [32 - 40],82.78% [81.57% - 84.85%],55,31,96,10-06-2020
12,AZ- PHOENIX,83.49,169,154,204,81.52,87.78,169 [154 - 204],83.49% [81.52% - 87.78%],264,115,589,10-06-2020
14,AZ- SUN CITY,81.11,7,6,8,80.62,81.85,7 [6 - 8],81.11% [80.62% - 81.85%],9,5,15,10-06-2020
15,AZ- TUCSON,81.98,29,25,41,80.71,84.99,29 [25 - 41],81.98% [80.71% - 84.99%],50,18,126,10-06-2020
16,AR- FORT SMITH,88.27,70,64,85,83.59,96.55,70 [64 - 85],88.27% [83.59% - 96.55%],106,46,212,10-06-2020
18,AR- JONESBORO,88.63,49,45,56,83.32,94.27,49 [45 - 56],88.63% [83.32% - 94.27%],78,30,129,10-06-2020
19,AR- LITTLE ROCK,86.22,236,214,275,82.51,92.54,236 [214 - 275],86.22% [82.51% - 92.54%],359,145,724,10-06-2020
21,AR- SPRINGDALE,88.23,56,51,64,83.6,95.33,56 [51 - 64],88.23% [83.6% - 95.33%],87,38,162,10-06-2020
22,AR- TEXARKANA,85.61,35,31,42,82.14,91.94,35 [31 - 42],85.61% [82.14% - 91.94%],55,21,117,10-06-2020
23,CA- ORANGE CO.,82.03,98,91,117,81.12,84.18,98 [91 - 117],82.03% [81.12% - 84.18%],155,86,320,10-06-2020
25,CA- BAKERSFIELD,81.36,28,26,33,80.69,82.32,28 [26 - 33],81.36% [80.69% - 82.32%],49,25,84,10-06-2020
31,CA- CHICO,85.16,23,21,28,82.66,90.94,23 [21 - 28],85.16% [82.66% - 90.94%],33,17,70,10-06-2020
33,CA- CONTRA COSTA CO.,82.8,35,32,41,81.55,85.44,35 [32 - 41],82.8% [81.55% - 85.44%],56,31,109,10-06-2020
43,CA- FRESNO,82.67,35,33,42,81.58,85.17,35 [33 - 42],82.67% [81.58% - 85.17%],61,36,118,10-06-2020
56,CA- LOS ANGELES,83.5,567,526,663,81.83,87.01,567 [526 - 663],83.5% [81.83% - 87.01%],869,455,1739,10-06-2020
58,CA- MODESTO,80.81,7,6,8,80.17,81.28,7 [6 - 8],80.81% [80.17% - 81.28%],14,3,22,10-06-2020
62,CA- NAPA,82.75,7,7,10,82.75,87.04,7 [7 - 10],82.75% [82.75% - 87.04%],16,16,41,10-06-2020
65,CA- ALAMEDA CO.,81.09,21,20,23,80.59,81.66,21 [20 - 23],81.09% [80.59% - 81.66%],37,20,56,10-06-2020
69,CA- PALM SPR/RANCHO MIR.,83.32,21,20,25,81.8,86.46,21 [20 - 25],83.32% [81.8% - 86.46%],35,19,68,10-06-2020
73,CA- REDDING,113.46,240,223,296,98.02,160.5,240 [223 - 296],113.46% [98.02% - 160.5%],362,195,871,10-06-2020
77,CA- SACRAMENTO,81.17,35,31,49,80.59,83.11,35 [31 - 49],81.17% [80.59% - 83.11%],56,28,149,10-06-2020
78,CA- SALINAS,83.15,14,13,16,82.14,85.3,14 [13 - 16],83.15% [82.14% - 85.3%],25,17,42,10-06-2020
79,CA- SAN BERNARDINO,86.05,229,214,264,83.3,91.64,229 [214 - 264],86.05% [83.3% - 91.64%],350,191,673,10-06-2020
80,CA- SAN DIEGO,83.3,147,136,173,81.58,86.74,147 [136 - 173],83.3% [81.58% - 86.74%],232,111,474,10-06-2020
81,CA- SAN FRANCISCO,80.87,28,26,33,80.55,81.87,28 [26 - 33],80.87% [80.55% - 81.87%],44,28,95,10-06-2020
82,CA- SAN JOSE,81.16,21,20,26,80.56,82.61,21 [20 - 26],81.16% [80.56% - 82.61%],35,17,79,10-06-2020
83,CA- SAN LUIS OBISPO,83.73,14,13,15,81.75,85.48,14 [13 - 15],83.73% [81.75% - 85.48%],17,8,25,10-06-2020
