date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
09-20-2020,12,10,12
09-21-2020,10,9,10
09-22-2020,10,10,10
09-23-2020,10,10,10
09-24-2020,9,9,10
09-25-2020,9,9,9
09-26-2020,10,10,10
09-27-2020,10,10,12
09-28-2020,10,10,10
09-29-2020,8,8,9
09-30-2020,9,9,9
10-01-2020,9,8,9
10-02-2020,8,8,10
10-03-2020,8,8,9
10-04-2020,8,8,9
10-05-2020,8,8,10
10-06-2020,8,8,13
10-07-2020,9,8,13
10-08-2020,9,8,13
10-09-2020,9,8,15
10-10-2020,10,6,15
10-11-2020,10,6,15
10-12-2020,10,6,15
10-13-2020,10,8,17
10-14-2020,10,8,18
10-15-2020,9,6,18
10-16-2020,9,6,20
10-17-2020,9,6,21
10-18-2020,9,6,21
10-19-2020,10,6,21
10-20-2020,12,6,22
10-21-2020,12,6,23
10-22-2020,13,6,23
10-23-2020,13,6,25
10-24-2020,13,6,25
10-25-2020,14,6,26
10-26-2020,14,6,26
10-27-2020,14,6,26
10-28-2020,14,6,29
10-29-2020,14,6,27
10-30-2020,14,6,27
10-31-2020,14,6,29
11-01-2020,13,5,32
11-02-2020,13,5,32
11-03-2020,14,5,33
11-04-2020,14,5,35
11-05-2020,16,5,35
11-06-2020,17,5,35
11-07-2020,17,5,35
11-08-2020,17,5,36
11-09-2020,17,5,38
11-10-2020,17,5,40
11-11-2020,16,5,40
11-12-2020,17,5,40
11-13-2020,17,5,41
11-14-2020,17,5,42
11-15-2020,17,7,45
11-16-2020,17,8,45
11-17-2020,18,8,45
11-18-2020,17,8,46
11-19-2020,17,8,46
11-20-2020,18,8,53
11-21-2020,18,8,53
