region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,99.75,1669,1600,1735,95.16,104.74,1669 [1600 - 1735],99.75% [95.16% - 104.74%],1668,1280,2089,12-21-2020
2,AL- DOTHAN,94.23,188,180,198,91.07,98.22,188 [180 - 198],94.23% [91.07% - 98.22%],189,147,242,12-21-2020
5,AL- HUNTSVILLE,114.57,649,621,680,106.33,123.83,649 [621 - 680],114.57% [106.33% - 123.83%],650,495,824,12-21-2020
6,AL- MOBILE,91.66,333,320,348,88.75,94.88,333 [320 - 348],91.66% [88.75% - 94.88%],333,250,425,12-21-2020
7,AL- MONTGOMERY,100.05,310,298,324,95.52,105.81,310 [298 - 324],100.05% [95.52% - 105.81%],310,240,399,12-21-2020
9,AL- TUSCALOOSA,104.95,249,239,262,99.04,112.36,249 [239 - 262],104.95% [99.04% - 112.36%],249,190,323,12-21-2020
11,AZ- MESA,137.42,1138,1090,1196,123.33,154.34,1138 [1090 - 1196],137.42% [123.33% - 154.34%],1137,858,1472,12-21-2020
12,AZ- PHOENIX,120.44,3063,2927,3234,110.15,133.14,3063 [2927 - 3234],120.44% [110.15% - 133.14%],3063,2284,4025,12-21-2020
14,AZ- SUN CITY,105.43,206,197,217,99.26,112.96,206 [197 - 217],105.43% [99.26% - 112.96%],206,156,267,12-21-2020
15,AZ- TUCSON,112.45,819,786,857,104.45,121.72,819 [786 - 857],112.45% [104.45% - 121.72%],819,617,1053,12-21-2020
16,AR- FORT SMITH,90.07,127,122,133,87.57,92.8,127 [122 - 133],90.07% [87.57% - 92.8%],129,97,164,12-21-2020
18,AR- JONESBORO,90.4,93,90,98,88.52,93.5,93 [90 - 98],90.4% [88.52% - 93.5%],94,77,122,12-21-2020
19,AR- LITTLE ROCK,92.18,704,675,738,89.2,95.51,704 [675 - 738],92.18% [89.2% - 95.51%],703,531,895,12-21-2020
21,AR- SPRINGDALE,103.46,247,237,259,97.79,109.99,247 [237 - 259],103.46% [97.79% - 109.99%],248,188,317,12-21-2020
22,AR- TEXARKANA,86.02,59,55,62,83.78,87.76,59 [55 - 62],86.02% [83.78% - 87.76%],59,37,76,12-21-2020
23,CA- ORANGE CO.,114.4,2632,2527,2749,106.72,123.43,2632 [2527 - 2749],114.4% [106.72% - 123.43%],2632,2044,3323,12-21-2020
25,CA- BAKERSFIELD,102.54,814,784,850,97.59,108.46,814 [784 - 850],102.54% [97.59% - 108.46%],815,636,1029,12-21-2020
31,CA- CHICO,97.5,110,106,116,93.59,102.19,110 [106 - 116],97.5% [93.59% - 102.19%],112,87,142,12-21-2020
33,CA- CONTRA COSTA CO.,95.83,314,303,326,94.53,97.77,314 [303 - 326],95.83% [94.53% - 97.77%],317,291,356,12-21-2020
43,CA- FRESNO,158.54,1794,1718,1881,139.48,181.71,1794 [1718 - 1881],158.54% [139.48% - 181.71%],1793,1358,2322,12-21-2020
56,CA- LOS ANGELES,133.24,13205,12651,13784,121.19,147.12,13.20K [12.65K - 13.78K],133.24% [121.19% - 147.12%],13205,10216,16647,12-21-2020
58,CA- MODESTO,116.88,634,607,667,108.16,127.24,634 [607 - 667],116.88% [108.16% - 127.24%],634,484,812,12-21-2020
62,CA- NAPA,94.78,85,81,89,91.34,98.73,85 [81 - 89],94.78% [91.34% - 98.73%],86,66,109,12-21-2020
65,CA- ALAMEDA CO.,98.02,608,584,637,93.91,102.94,608 [584 - 637],98.02% [93.91% - 102.94%],609,470,775,12-21-2020
69,CA- PALM SPR/RANCHO MIR.,155.02,791,757,825,137.83,174.68,791 [757 - 825],155.02% [137.83% - 174.68%],790,609,997,12-21-2020
