date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
11-29-2020,4,4,5
11-30-2020,5,5,5
12-01-2020,5,4,5
12-02-2020,5,5,6
12-03-2020,6,6,6
12-04-2020,5,5,5
12-05-2020,5,5,5
12-06-2020,4,4,4
12-07-2020,4,4,4
12-08-2020,13,13,13
12-09-2020,13,13,13
12-10-2020,14,14,14
12-11-2020,15,15,15
12-12-2020,18,17,19
12-13-2020,22,20,23
12-14-2020,26,23,28
12-15-2020,30,26,34
12-16-2020,35,29,39
12-17-2020,41,33,46
12-18-2020,46,36,53
12-19-2020,51,40,60
12-20-2020,56,44,66
12-21-2020,60,47,71
12-22-2020,63,49,75
12-23-2020,65,51,77
12-24-2020,65,51,78
12-25-2020,66,51,83
12-26-2020,63,49,80
12-27-2020,67,52,86
12-28-2020,69,54,87
12-29-2020,72,55,91
12-30-2020,72,55,91
12-31-2020,74,55,92
01-01-2021,73,54,90
01-02-2021,72,55,89
01-03-2021,70,53,86
01-04-2021,66,50,83
01-05-2021,63,48,80
01-06-2021,60,45,76
01-07-2021,56,42,72
01-08-2021,51,38,69
01-09-2021,47,35,65
01-10-2021,44,31,61
01-11-2021,40,28,57
01-12-2021,36,25,53
01-13-2021,33,22,49
01-14-2021,30,19,46
01-15-2021,27,17,43
01-16-2021,25,15,39
01-17-2021,23,13,37
01-18-2021,21,12,35
01-19-2021,19,11,33
01-20-2021,17,10,30
01-21-2021,16,9,28
01-22-2021,15,8,26
01-23-2021,13,8,24
01-24-2021,12,7,22
01-25-2021,11,6,21
01-26-2021,10,6,20
01-27-2021,10,5,19
01-28-2021,9,5,19
01-29-2021,9,5,18
01-30-2021,8,5,18
