region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,87.55,582,541,680,84.25,95.19,582 [541 - 680],87.55% [84.25% - 95.19%],638,359,1283,09-08-2020
2,AL- DOTHAN,84.07,49,45,53,81.88,86.17,49 [45 - 53],84.07% [81.88% - 86.17%],54,25,82,09-08-2020
5,AL- HUNTSVILLE,84.57,84,81,102,83.3,89.68,84 [81 - 102],84.57% [83.3% - 89.68%],86,62,182,09-08-2020
6,AL- MOBILE,81.72,37,36,42,81.3,82.45,37 [36 - 42],81.72% [81.3% - 82.45%],49,37,70,09-08-2020
7,AL- MONTGOMERY,84.59,65,62,74,83.04,87.57,65 [62 - 74],84.59% [83.04% - 87.57%],71,47,117,09-08-2020
9,AL- TUSCALOOSA,86.21,51,47,60,82.81,91.42,51 [47 - 60],86.21% [82.81% - 91.42%],62,28,114,09-08-2020
11,AZ- MESA,82.17,35,34,38,81.57,83.13,35 [34 - 38],82.17% [81.57% - 83.13%],43,31,62,09-08-2020
12,AZ- PHOENIX,81.07,72,69,80,80.83,81.78,72 [69 - 80],81.07% [80.83% - 81.78%],81,63,135,09-08-2020
14,AZ- SUN CITY,80.37,0,0,0,80.25,80.62,0 [0 - 0],80.37% [80.25% - 80.62%],3,2,5,09-08-2020
15,AZ- TUCSON,80.48,7,7,8,80.32,80.67,7 [7 - 8],80.48% [80.32% - 80.67%],12,8,17,09-08-2020
16,AR- FORT SMITH,82.11,21,20,22,81.33,82.58,21 [20 - 22],82.11% [81.33% - 82.58%],27,17,33,09-08-2020
18,AR- JONESBORO,84.76,41,39,46,83.1,87.41,41 [39 - 46],84.76% [83.1% - 87.41%],43,28,67,09-08-2020
19,AR- LITTLE ROCK,82.25,125,118,136,81.46,83.5,125 [118 - 136],82.25% [81.46% - 83.5%],130,84,202,09-08-2020
21,AR- SPRINGDALE,99.58,203,187,251,88.89,130.24,203 [187 - 251],99.58% [88.89% - 130.24%],207,94,531,09-08-2020
22,AR- TEXARKANA,83.16,28,28,31,82.24,85.1,28 [28 - 31],83.16% [82.24% - 85.1%],31,22,50,09-08-2020
23,CA- ORANGE CO.,81.62,108,107,112,81.44,81.88,108 [107 - 112],81.62% [81.44% - 81.88%],124,110,144,09-08-2020
25,CA- BAKERSFIELD,81.11,32,31,33,80.88,81.36,32 [31 - 33],81.11% [80.88% - 81.36%],40,32,49,09-08-2020
31,CA- CHICO,108.44,168,156,197,95.94,133.44,168 [156 - 197],108.44% [95.94% - 133.44%],182,102,342,09-08-2020
33,CA- CONTRA COSTA CO.,81.4,23,22,25,80.9,81.75,23 [22 - 25],81.4% [80.9% - 81.75%],28,18,35,09-08-2020
43,CA- FRESNO,83.99,81,75,87,82.45,86.18,81 [75 - 87],83.99% [82.45% - 86.18%],91,56,141,09-08-2020
56,CA- LOS ANGELES,81.34,287,280,306,81.1,81.85,287 [280 - 306],81.34% [81.1% - 81.85%],332,273,460,09-08-2020
58,CA- MODESTO,83.32,49,48,51,82.56,84.01,49 [48 - 51],83.32% [82.56% - 84.01%],57,44,69,09-08-2020
62,CA- NAPA,82.06,5,5,6,81.55,82.23,5 [5 - 6],82.06% [81.55% - 82.23%],12,9,13,09-08-2020
65,CA- ALAMEDA CO.,82.01,59,58,62,81.66,82.37,59 [58 - 62],82.01% [81.66% - 82.37%],68,56,80,09-08-2020
69,CA- PALM SPR/RANCHO MIR.,80.66,0,0,1,80.57,80.85,0 [0 - 1],80.66% [80.57% - 80.85%],7,6,9,09-08-2020
73,CA- REDDING,80.83,7,7,10,80.55,82.22,7 [7 - 10],80.83% [80.55% - 82.22%],9,6,24,09-08-2020
77,CA- SACRAMENTO,84.22,198,188,210,83.05,85.75,198 [188 - 210],84.22% [83.05% - 85.75%],202,146,275,09-08-2020
78,CA- SALINAS,86.94,49,48,51,85.42,88.7,49 [48 - 51],86.94% [85.42% - 88.7%],55,43,69,09-08-2020
79,CA- SAN BERNARDINO,81.3,58,57,62,81.04,81.68,58 [57 - 62],81.3% [81.04% - 81.68%],75,60,97,09-08-2020
80,CA- SAN DIEGO,83.43,231,223,254,82.55,85.36,231 [223 - 254],83.43% [82.55% - 85.36%],241,179,377,09-08-2020
81,CA- SAN FRANCISCO,81.32,57,55,61,80.87,81.62,57 [55 - 61],81.32% [80.87% - 81.62%],67,44,82,09-08-2020
82,CA- SAN JOSE,84.73,140,137,145,84.0,85.82,140 [137 - 145],84.73% [84.0% - 85.82%],143,121,176,09-08-2020
