date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
09-06-2020,7,7,7
09-07-2020,7,7,7
09-08-2020,6,6,8
09-09-2020,6,6,6
09-10-2020,8,8,8
09-11-2020,12,12,12
09-12-2020,10,10,11
09-13-2020,11,11,11
09-14-2020,10,10,10
09-15-2020,10,9,10
09-16-2020,11,11,11
09-17-2020,12,12,13
09-18-2020,14,13,15
09-19-2020,16,14,17
09-20-2020,18,16,18
09-21-2020,20,18,21
09-22-2020,22,19,24
09-23-2020,25,22,28
09-24-2020,28,24,31
09-25-2020,30,25,33
09-26-2020,32,28,37
09-27-2020,35,29,40
09-28-2020,37,31,44
09-29-2020,41,32,49
09-30-2020,43,33,53
10-01-2020,46,35,62
10-02-2020,48,36,67
10-03-2020,49,36,75
10-04-2020,51,36,81
10-05-2020,55,37,88
10-06-2020,55,36,94
10-07-2020,59,36,100
10-08-2020,59,34,106
10-09-2020,59,33,111
10-10-2020,58,31,116
10-11-2020,55,30,120
10-12-2020,54,28,122
10-13-2020,50,25,122
10-14-2020,47,23,122
10-15-2020,43,21,120
10-16-2020,40,19,116
10-17-2020,37,18,112
10-18-2020,33,16,109
10-19-2020,30,14,102
10-20-2020,26,13,95
10-21-2020,25,12,87
10-22-2020,23,11,80
10-23-2020,20,10,74
10-24-2020,19,9,67
10-25-2020,17,9,60
10-26-2020,16,9,54
10-27-2020,14,8,48
10-28-2020,14,8,45
10-29-2020,13,8,40
10-30-2020,13,8,37
10-31-2020,12,8,34
11-01-2020,11,8,32
11-02-2020,11,7,29
11-03-2020,10,7,27
11-04-2020,11,7,26
11-05-2020,11,7,24
11-06-2020,10,7,23
11-07-2020,10,7,23
