region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,94.38,1368,1288,1470,89.46,100.46,1368 [1288 - 1470],94.38% [89.46% - 100.46%],1214,799,1728,12-08-2020
2,AL- DOTHAN,86.7,104,96,113,84.44,89.56,104 [96 - 113],86.7% [84.44% - 89.56%],89,59,127,12-08-2020
5,AL- HUNTSVILLE,105.21,529,500,565,96.97,115.53,529 [500 - 565],105.21% [96.97% - 115.53%],474,319,668,12-08-2020
6,AL- MOBILE,88.3,277,259,298,85.29,91.8,277 [259 - 298],88.3% [85.29% - 91.8%],237,151,337,12-08-2020
7,AL- MONTGOMERY,90.09,179,167,196,85.63,95.98,179 [167 - 196],90.09% [85.63% - 95.98%],156,87,247,12-08-2020
9,AL- TUSCALOOSA,99.94,230,216,247,91.72,109.36,230 [216 - 247],99.94% [91.72% - 109.36%],199,117,293,12-08-2020
11,AZ- MESA,99.44,401,371,443,90.91,110.15,401 [371 - 443],99.44% [90.91% - 110.15%],385,216,597,12-08-2020
12,AZ- PHOENIX,95.43,1252,1160,1387,88.82,104.17,1252 [1160 - 1387],95.43% [88.82% - 104.17%],1169,668,1831,12-08-2020
14,AZ- SUN CITY,88.89,75,69,83,84.94,93.83,75 [69 - 83],88.89% [84.94% - 93.83%],72,40,112,12-08-2020
15,AZ- TUCSON,96.44,444,411,490,89.35,105.32,444 [411 - 490],96.44% [89.35% - 105.32%],415,236,639,12-08-2020
16,AR- FORT SMITH,84.61,66,62,71,83.04,86.79,66 [62 - 71],84.61% [83.04% - 86.79%],59,39,87,12-08-2020
18,AR- JONESBORO,88.63,84,80,90,86.08,91.73,84 [80 - 90],88.63% [86.08% - 91.73%],78,55,106,12-08-2020
19,AR- LITTLE ROCK,86.13,394,367,424,83.97,88.73,394 [367 - 424],86.13% [83.97% - 88.73%],354,229,504,12-08-2020
21,AR- SPRINGDALE,104.31,300,283,323,94.85,116.52,300 [283 - 323],104.31% [94.85% - 116.52%],257,157,386,12-08-2020
22,AR- TEXARKANA,83.47,42,39,46,82.14,85.82,42 [39 - 46],83.47% [82.14% - 85.82%],34,21,57,12-08-2020
23,CA- ORANGE CO.,95.44,1369,1278,1482,88.78,103.68,1369 [1278 - 1482],95.44% [88.78% - 103.68%],1181,672,1812,12-08-2020
25,CA- BAKERSFIELD,87.08,288,268,315,84.15,90.43,288 [268 - 315],87.08% [84.15% - 90.43%],256,150,377,12-08-2020
31,CA- CHICO,83.91,28,26,30,82.03,85.62,28 [26 - 30],83.91% [82.03% - 85.62%],25,13,36,12-08-2020
33,CA- CONTRA COSTA CO.,93.63,315,294,342,87.84,101.17,315 [294 - 342],93.63% [87.84% - 101.17%],273,157,424,12-08-2020
43,CA- FRESNO,85.78,141,131,154,83.46,88.63,141 [131 - 154],85.78% [83.46% - 88.63%],132,79,197,12-08-2020
56,CA- LOS ANGELES,121.53,11969,11361,12600,107.34,136.37,11.97K [11.36K - 12.60K],121.53% [107.34% - 136.37%],10301,6780,13982,12-08-2020
58,CA- MODESTO,110.66,612,574,653,98.09,124.56,612 [574 - 653],110.66% [98.09% - 124.56%],527,311,766,12-08-2020
62,CA- NAPA,91.68,80,74,86,86.7,97.87,80 [74 - 86],91.68% [86.7% - 97.87%],68,39,104,12-08-2020
