date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
11-15-2020,7,7,7
11-16-2020,7,7,7
11-17-2020,9,7,9
11-18-2020,9,9,9
11-19-2020,9,9,9
11-20-2020,9,9,10
11-21-2020,9,9,10
11-22-2020,10,10,10
11-23-2020,11,10,11
11-24-2020,8,8,8
11-25-2020,9,9,9
11-26-2020,10,10,10
11-27-2020,10,10,11
11-28-2020,11,10,11
11-29-2020,11,10,12
11-30-2020,12,10,12
12-01-2020,12,11,12
12-02-2020,12,11,13
12-03-2020,12,11,13
12-04-2020,12,11,15
12-05-2020,12,11,15
12-06-2020,13,11,16
12-07-2020,14,11,16
12-08-2020,14,11,17
12-09-2020,14,11,18
12-10-2020,14,12,18
12-11-2020,14,11,19
12-12-2020,15,11,20
12-13-2020,15,11,20
12-14-2020,16,11,21
12-15-2020,16,11,21
12-16-2020,16,10,23
12-17-2020,15,10,23
12-18-2020,16,10,25
12-19-2020,16,10,23
12-20-2020,16,10,24
12-21-2020,17,9,25
12-22-2020,17,9,26
12-23-2020,17,9,27
12-24-2020,17,9,27
12-25-2020,17,9,28
12-26-2020,17,9,29
12-27-2020,18,9,30
12-28-2020,19,10,32
12-29-2020,19,10,33
12-30-2020,19,10,33
12-31-2020,19,9,34
01-01-2021,19,9,36
01-02-2021,20,9,36
01-03-2021,20,9,37
01-04-2021,20,9,38
01-05-2021,20,9,39
01-06-2021,20,9,40
01-07-2021,19,9,40
01-08-2021,20,9,41
01-09-2021,20,9,43
01-10-2021,20,9,43
01-11-2021,20,9,44
01-12-2021,20,8,44
01-13-2021,20,8,45
01-14-2021,21,9,46
01-15-2021,21,8,47
01-16-2021,21,8,47
