region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,94.03,1044,1010,1129,91.94,98.76,1044 [1010 - 1129],94.03% [91.94% - 98.76%],1185,1008,1584,01-26-2021
2,AL- DOTHAN,93.48,152,149,155,92.73,93.86,152 [149 - 155],93.48% [92.73% - 93.86%],179,169,184,01-26-2021
5,AL- HUNTSVILLE,95.05,216,211,219,94.63,95.64,216 [211 - 219],95.05% [94.63% - 95.64%],283,275,294,01-26-2021
6,AL- MOBILE,94.32,360,353,366,93.16,95.68,360 [353 - 366],94.32% [93.16% - 95.68%],409,376,448,01-26-2021
7,AL- MONTGOMERY,100.63,284,276,298,97.98,104.9,284 [276 - 298],100.63% [97.98% - 104.9%],319,278,385,01-26-2021
9,AL- TUSCALOOSA,93.33,115,110,119,92.53,94.83,115 [110 - 119],93.33% [92.53% - 94.83%],133,125,148,01-26-2021
11,AZ- MESA,127.12,687,673,701,125.76,128.59,687 [673 - 701],127.12% [125.76% - 128.59%],933,906,962,01-26-2021
12,AZ- PHOENIX,109.33,1608,1577,1643,108.5,110.23,1608 [1577 - 1643],109.33% [108.5% - 110.23%],2222,2159,2290,01-26-2021
14,AZ- SUN CITY,99.63,110,108,112,99.01,100.12,110 [108 - 112],99.63% [99.01% - 100.12%],159,154,163,01-26-2021
15,AZ- TUCSON,110.39,674,657,696,106.82,114.51,674 [657 - 696],110.39% [106.82% - 114.51%],767,677,871,01-26-2021
16,AR- FORT SMITH,93.97,141,138,146,93.43,94.75,141 [138 - 146],93.97% [93.43% - 94.75%],179,172,189,01-26-2021
18,AR- JONESBORO,88.63,63,62,64,88.41,88.96,63 [62 - 64],88.63% [88.41% - 88.96%],78,76,81,01-26-2021
19,AR- LITTLE ROCK,90.14,473,460,485,89.68,90.53,473 [460 - 485],90.14% [89.68% - 90.53%],585,559,608,01-26-2021
21,AR- SPRINGDALE,102.23,206,201,212,98.92,105.17,206 [201 - 212],102.23% [98.92% - 105.17%],235,200,266,01-26-2021
22,AR- TEXARKANA,89.69,84,83,85,88.57,89.9,84 [83 - 85],89.69% [88.57% - 89.9%],95,84,97,01-26-2021
23,CA- ORANGE CO.,94.64,899,877,920,94.12,95.14,899 [877 - 920],94.64% [94.12% - 95.14%],1120,1080,1158,01-26-2021
25,CA- BAKERSFIELD,92.17,344,336,351,91.84,92.58,344 [336 - 351],92.17% [91.84% - 92.58%],440,428,455,01-26-2021
31,CA- CHICO,89.38,47,46,49,89.06,90.0,47 [46 - 49],89.38% [89.06% - 90.0%],60,58,64,01-26-2021
33,CA- CONTRA COSTA CO.,91.93,169,165,173,91.53,92.33,169 [165 - 173],91.93% [91.53% - 92.33%],239,231,247,01-26-2021
43,CA- FRESNO,99.75,336,330,342,99.14,100.24,336 [330 - 342],99.75% [99.14% - 100.24%],451,437,462,01-26-2021
56,CA- LOS ANGELES,97.56,3692,3573,3818,96.82,98.36,3692 [3573 - 3818],97.56% [96.82% - 98.36%],4355,4173,4553,01-26-2021
