date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
01-10-2021,37,36,37
01-11-2021,35,35,36
01-12-2021,34,33,34
01-13-2021,32,31,32
01-14-2021,31,30,31
01-15-2021,30,30,31
01-16-2021,29,29,30
01-17-2021,28,28,28
01-18-2021,26,25,26
01-19-2021,26,25,26
01-20-2021,26,26,26
01-21-2021,26,25,27
01-22-2021,26,24,27
01-23-2021,26,23,27
01-24-2021,26,23,27
01-25-2021,25,23,28
01-26-2021,25,22,28
01-27-2021,25,21,29
01-28-2021,25,20,30
01-29-2021,25,19,30
01-30-2021,25,19,30
01-31-2021,25,19,31
02-01-2021,25,18,32
02-02-2021,25,17,33
02-03-2021,25,17,34
02-04-2021,25,16,35
02-05-2021,25,15,36
02-06-2021,25,15,36
02-07-2021,25,15,36
02-08-2021,25,14,36
02-09-2021,24,13,37
02-10-2021,24,12,38
02-11-2021,24,12,38
02-12-2021,23,11,39
02-13-2021,23,11,39
02-14-2021,23,11,39
02-15-2021,23,10,39
02-16-2021,22,10,40
02-17-2021,22,9,40
02-18-2021,21,8,41
02-19-2021,21,8,41
02-20-2021,21,7,41
02-21-2021,20,7,41
02-22-2021,20,7,41
02-23-2021,20,6,41
02-24-2021,19,6,42
02-25-2021,19,6,42
02-26-2021,18,6,42
02-27-2021,18,6,42
02-28-2021,17,5,42
03-01-2021,17,5,42
03-02-2021,16,5,42
03-03-2021,16,4,42
03-04-2021,16,4,42
03-05-2021,15,4,42
03-06-2021,15,4,41
03-07-2021,14,3,41
03-08-2021,14,3,41
03-09-2021,13,3,41
03-10-2021,13,3,41
03-11-2021,13,3,40
03-12-2021,13,2,40
03-13-2021,12,2,39
