region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,80.34,182,173,190,80.26,80.4,182 [173 - 190],80.34% [80.26% - 80.4%],29,22,34,03-16-2021
2,AL- DOTHAN,80.15,13,11,14,80.0,80.15,13 [11 - 14],80.15% [80.0% - 80.15%],2,0,2,03-16-2021
5,AL- HUNTSVILLE,80.21,23,22,24,80.16,80.27,23 [22 - 24],80.21% [80.16% - 80.27%],4,3,5,03-16-2021
6,AL- MOBILE,80.18,29,28,31,80.14,80.21,29 [28 - 31],80.18% [80.14% - 80.21%],5,4,6,03-16-2021
7,AL- MONTGOMERY,80.26,24,23,25,80.19,80.26,24 [23 - 25],80.26% [80.19% - 80.26%],4,3,4,03-16-2021
9,AL- TUSCALOOSA,80.2,8,7,9,80.1,80.2,8 [7 - 9],80.2% [80.1% - 80.2%],2,1,2,03-16-2021
11,AZ- MESA,81.01,124,119,130,80.76,81.26,124 [119 - 130],81.01% [80.76% - 81.26%],20,15,25,03-16-2021
12,AZ- PHOENIX,80.61,289,279,303,80.48,80.78,289 [279 - 303],80.61% [80.48% - 80.78%],46,36,59,03-16-2021
14,AZ- SUN CITY,80.37,21,20,22,80.37,80.49,21 [20 - 22],80.37% [80.37% - 80.49%],3,3,4,03-16-2021
15,AZ- TUCSON,80.36,57,55,60,80.28,80.44,57 [55 - 60],80.36% [80.28% - 80.44%],9,7,11,03-16-2021
16,AR- FORT SMITH,80.31,13,10,16,80.08,80.31,13 [10 - 16],80.31% [80.08% - 80.31%],4,1,4,03-16-2021
18,AR- JONESBORO,80.11,2,1,3,80.0,80.11,2 [1 - 3],80.11% [80.0% - 80.11%],1,0,1,03-16-2021
19,AR- LITTLE ROCK,80.1,42,40,45,80.09,80.14,42 [40 - 45],80.1% [80.09% - 80.14%],6,5,8,03-16-2021
21,AR- SPRINGDALE,80.47,31,29,33,80.28,80.57,31 [29 - 33],80.47% [80.28% - 80.57%],5,3,6,03-16-2021
22,AR- TEXARKANA,80.2,9,8,10,80.1,80.2,9 [8 - 10],80.2% [80.1% - 80.2%],2,1,2,03-16-2021
23,CA- ORANGE CO.,80.1,45,43,48,80.08,80.13,45 [43 - 48],80.1% [80.08% - 80.13%],8,6,10,03-16-2021
25,CA- BAKERSFIELD,80.14,29,27,31,80.11,80.17,29 [27 - 31],80.14% [80.11% - 80.17%],5,4,6,03-16-2021
31,CA- CHICO,80.16,5,4,6,80.16,80.16,5 [4 - 6],80.16% [80.16% - 80.16%],1,1,1,03-16-2021
33,CA- CONTRA COSTA CO.,80.25,28,27,29,80.2,80.25,28 [27 - 29],80.25% [80.2% - 80.25%],5,4,5,03-16-2021
43,CA- FRESNO,80.44,65,63,69,80.35,80.57,65 [63 - 69],80.44% [80.35% - 80.57%],10,8,13,03-16-2021
56,CA- LOS ANGELES,80.21,280,270,289,80.17,80.24,280 [270 - 289],80.21% [80.17% - 80.24%],51,41,60,03-16-2021
58,CA- MODESTO,80.52,56,54,59,80.41,80.64,56 [54 - 59],80.52% [80.41% - 80.64%],9,7,11,03-16-2021
62,CA- NAPA,80.17,4,3,5,80.0,80.17,4 [3 - 5],80.17% [80.0% - 80.17%],1,0,1,03-16-2021
65,CA- ALAMEDA CO.,80.15,29,28,31,80.12,80.18,29 [28 - 31],80.15% [80.12% - 80.18%],5,4,6,03-16-2021
69,CA- PALM SPR/RANCHO MIR.,80.09,4,3,5,80.0,80.09,4 [3 - 5],80.09% [80.0% - 80.09%],1,0,1,03-16-2021
73,CA- REDDING,80.18,14,14,14,80.18,80.18,14 [14 - 14],80.18% [80.18% - 80.18%],2,2,2,03-16-2021
77,CA- SACRAMENTO,80.27,83,80,87,80.21,80.33,83 [80 - 87],80.27% [80.21% - 80.33%],13,10,16,03-16-2021
78,CA- SALINAS,80.13,7,6,7,80.13,80.13,7 [6 - 7],80.13% [80.13% - 80.13%],1,1,1,03-16-2021
79,CA- SAN BERNARDINO,80.14,42,40,44,80.1,80.16,42 [40 - 44],80.14% [80.1% - 80.16%],8,6,9,03-16-2021
80,CA- SAN DIEGO,80.31,145,140,151,80.26,80.38,145 [140 - 151],80.31% [80.26% - 80.38%],22,18,27,03-16-2021
81,CA- SAN FRANCISCO,80.1,26,24,28,80.06,80.12,26 [24 - 28],80.1% [80.06% - 80.12%],5,3,6,03-16-2021
82,CA- SAN JOSE,80.3,54,52,57,80.23,80.33,54 [52 - 57],80.3% [80.23% - 80.33%],9,7,10,03-16-2021
83,CA- SAN LUIS OBISPO,80.22,7,7,7,80.22,80.22,7 [7 - 7],80.22% [80.22% - 80.22%],1,1,1,03-16-2021
85,CA- SAN MATEO CO.,80.15,22,21,23,80.11,80.15,22 [21 - 23],80.15% [80.11% - 80.15%],4,3,4,03-16-2021
86,CA- SANTA BARBARA,80.21,14,14,15,80.21,80.31,14 [14 - 15],80.21% [80.21% - 80.31%],2,2,3,03-16-2021
87,CA- SANTA CRUZ,80.56,14,14,14,80.56,80.56,14 [14 - 14],80.56% [80.56% - 80.56%],2,2,2,03-16-2021
89,CA- SANTA ROSA,80.11,14,13,14,80.11,80.11,14 [13 - 14],80.11% [80.11% - 80.11%],2,2,2,03-16-2021
91,CA- STOCKTON,80.28,15,14,16,80.19,80.28,15 [14 - 16],80.28% [80.19% - 80.28%],3,2,3,03-16-2021
96,CA- VENTURA,80.19,18,17,19,80.19,80.19,18 [17 - 19],80.19% [80.19% - 80.19%],3,3,3,03-16-2021
101,CO- BOULDER,80.84,27,25,28,80.63,80.84,27 [25 - 28],80.84% [80.63% - 80.84%],4,3,4,03-16-2021
102,CO- COLORADO SPRINGS,80.87,58,55,60,80.58,80.97,58 [55 - 60],80.87% [80.58% - 80.97%],9,6,10,03-16-2021
103,CO- DENVER,80.8,262,252,275,80.67,80.98,262 [252 - 275],80.8% [80.67% - 80.98%],38,32,47,03-16-2021
104,CO- FORT COLLINS,80.78,34,33,36,80.63,80.94,34 [33 - 36],80.78% [80.63% - 80.94%],5,4,6,03-16-2021
105,CO- GRAND JUNCTION,80.25,10,9,11,80.13,80.25,10 [9 - 11],80.25% [80.13% - 80.25%],2,1,2,03-16-2021
106,CO- GREELEY,80.77,40,37,42,80.51,80.77,40 [37 - 42],80.77% [80.51% - 80.77%],6,4,6,03-16-2021
107,CO- PUEBLO,80.13,7,7,8,80.13,80.25,7 [7 - 8],80.13% [80.13% - 80.25%],1,1,2,03-16-2021
109,CT- BRIDGEPORT,80.59,67,65,70,80.47,80.71,67 [65 - 70],80.59% [80.47% - 80.71%],10,8,12,03-16-2021
110,CT- HARTFORD,80.37,77,72,80,80.31,80.43,77 [72 - 80],80.37% [80.31% - 80.43%],12,10,14,03-16-2021
111,CT- NEW HAVEN,80.55,134,129,140,80.44,80.65,134 [129 - 140],80.55% [80.44% - 80.65%],21,17,25,03-16-2021
112,DE- WILMINGTON,80.86,107,102,112,80.64,81.07,107 [102 - 112],80.86% [80.64% - 81.07%],16,12,20,03-16-2021
113,DC- WASHINGTON,80.95,358,346,375,80.75,81.15,358 [346 - 375],80.95% [80.75% - 81.15%],52,41,63,03-16-2021
115,FL- BRADENTON,80.99,49,47,51,80.85,81.27,49 [47 - 51],80.99% [80.85% - 81.27%],7,6,9,03-16-2021
116,FL- CLEARWATER,80.43,44,42,46,80.31,80.49,44 [42 - 46],80.43% [80.31% - 80.49%],7,5,8,03-16-2021
118,FL- FORT LAUDERDALE,80.79,463,448,484,80.62,80.95,463 [448 - 484],80.79% [80.62% - 80.95%],69,54,83,03-16-2021
