date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
01-24-2021,151,148,154
01-25-2021,145,140,147
01-26-2021,134,131,137
01-27-2021,118,116,126
01-28-2021,125,122,127
01-29-2021,111,109,115
01-30-2021,108,104,110
01-31-2021,99,97,102
02-01-2021,105,99,106
02-02-2021,105,104,110
02-03-2021,99,95,101
02-04-2021,95,94,99
02-05-2021,94,93,99
02-06-2021,93,90,95
02-07-2021,92,86,95
02-08-2021,89,85,95
02-09-2021,87,82,94
02-10-2021,86,80,93
02-11-2021,85,77,93
02-12-2021,83,73,92
02-13-2021,81,71,92
02-14-2021,79,65,91
02-15-2021,77,62,90
02-16-2021,75,60,90
02-17-2021,75,58,90
02-18-2021,74,53,91
02-19-2021,71,52,90
02-20-2021,68,50,89
02-21-2021,67,47,86
02-22-2021,65,47,86
02-23-2021,62,44,87
02-24-2021,60,41,86
02-25-2021,59,41,86
02-26-2021,58,38,83
02-27-2021,57,38,83
02-28-2021,56,36,83
03-01-2021,54,32,81
03-02-2021,56,32,79
03-03-2021,55,30,79
03-04-2021,53,29,77
03-05-2021,53,27,76
03-06-2021,50,26,76
03-07-2021,48,25,76
03-08-2021,47,25,76
03-09-2021,46,24,76
03-10-2021,44,22,74
03-11-2021,44,24,74
03-12-2021,43,22,74
03-13-2021,42,22,73
03-14-2021,42,22,72
03-15-2021,42,21,72
03-16-2021,40,21,72
03-17-2021,40,19,72
03-18-2021,40,19,71
03-19-2021,39,18,71
03-20-2021,37,18,71
03-21-2021,37,18,71
03-22-2021,36,17,68
03-23-2021,35,16,68
03-24-2021,34,15,67
03-25-2021,34,15,67
03-26-2021,32,15,67
03-27-2021,31,15,66
