region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,81.78,203,196,213,81.4,82.19,203 [196 - 213],81.78% [81.4% - 82.19%],150,118,185,02-16-2021
2,AL- DOTHAN,81.51,28,26,31,81.28,81.81,28 [26 - 31],81.51% [81.28% - 81.81%],20,17,24,02-16-2021
5,AL- HUNTSVILLE,82.87,76,73,80,82.45,83.3,76 [73 - 80],82.87% [82.45% - 83.3%],54,46,62,02-16-2021
6,AL- MOBILE,82.28,101,96,105,82.03,82.77,101 [96 - 105],82.28% [82.03% - 82.77%],65,58,79,02-16-2021
7,AL- MONTGOMERY,82.98,62,59,66,82.33,83.62,62 [59 - 66],82.98% [82.33% - 83.62%],46,36,56,02-16-2021
9,AL- TUSCALOOSA,82.1,32,31,33,81.7,82.51,32 [31 - 33],82.1% [81.7% - 82.51%],21,17,25,02-16-2021
11,AZ- MESA,85.2,141,137,145,84.49,85.86,141 [137 - 145],85.2% [84.49% - 85.86%],103,89,116,02-16-2021
12,AZ- PHOENIX,83.13,323,313,332,82.71,83.55,323 [313 - 332],83.13% [82.71% - 83.55%],237,205,269,02-16-2021
14,AZ- SUN CITY,82.22,25,24,26,81.98,82.47,25 [24 - 26],82.22% [81.98% - 82.47%],18,16,20,02-16-2021
15,AZ- TUCSON,82.42,78,75,81,82.02,82.73,78 [75 - 81],82.42% [82.02% - 82.73%],61,51,69,02-16-2021
16,AR- FORT SMITH,81.95,42,41,42,81.95,82.11,42 [41 - 42],81.95% [81.95% - 82.11%],25,25,27,02-16-2021
18,AR- JONESBORO,80.88,10,9,11,80.77,81.11,10 [9 - 11],80.88% [80.77% - 81.11%],8,7,10,02-16-2021
19,AR- LITTLE ROCK,81.98,162,155,172,81.58,82.36,162 [155 - 172],81.98% [81.58% - 82.36%],114,91,136,02-16-2021
21,AR- SPRINGDALE,83.03,51,49,52,82.65,83.41,51 [49 - 52],83.03% [82.65% - 83.41%],32,28,36,02-16-2021
22,AR- TEXARKANA,82.86,43,41,45,82.55,83.27,43 [41 - 45],82.86% [82.55% - 83.27%],28,25,32,02-16-2021
23,CA- ORANGE CO.,81.96,212,206,219,81.75,82.21,212 [206 - 219],81.96% [81.75% - 82.21%],150,134,169,02-16-2021
25,CA- BAKERSFIELD,82.79,150,146,155,82.52,83.12,150 [146 - 155],82.79% [82.52% - 83.12%],101,91,113,02-16-2021
31,CA- CHICO,81.56,14,13,15,81.41,81.88,14 [13 - 15],81.56% [81.41% - 81.88%],10,9,12,02-16-2021
33,CA- CONTRA COSTA CO.,81.9,54,52,56,81.7,82.15,54 [52 - 56],81.9% [81.7% - 82.15%],38,34,43,02-16-2021
43,CA- FRESNO,82.37,68,65,70,82.15,82.67,68 [65 - 70],82.37% [82.15% - 82.67%],54,49,61,02-16-2021
56,CA- LOS ANGELES,81.72,531,517,547,81.54,81.92,531 [517 - 547],81.72% [81.54% - 81.92%],427,381,477,02-16-2021
58,CA- MODESTO,83.43,83,80,85,83.03,83.72,83 [80 - 85],83.43% [83.03% - 83.72%],59,52,64,02-16-2021
