date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
11-29-2020,27,26,28
11-30-2020,32,31,33
12-01-2020,30,28,30
12-02-2020,30,30,31
12-03-2020,34,34,35
12-04-2020,38,37,39
12-05-2020,40,39,40
12-06-2020,41,41,41
12-07-2020,40,40,42
12-08-2020,41,41,42
12-09-2020,43,43,44
12-10-2020,44,44,44
12-11-2020,46,45,48
12-12-2020,48,47,49
12-13-2020,49,49,52
12-14-2020,50,49,53
12-15-2020,53,50,54
12-16-2020,53,52,57
12-17-2020,56,52,59
12-18-2020,57,53,64
12-19-2020,59,53,67
12-20-2020,60,55,70
12-21-2020,64,55,73
12-22-2020,65,55,78
12-23-2020,68,56,80
12-24-2020,70,57,85
12-25-2020,71,57,89
12-26-2020,74,57,95
12-27-2020,78,60,101
12-28-2020,81,61,105
12-29-2020,83,63,111
12-30-2020,85,64,115
12-31-2020,88,65,121
01-01-2021,93,67,129
01-02-2021,96,67,135
01-03-2021,100,68,141
01-04-2021,103,70,148
01-05-2021,107,70,155
01-06-2021,111,72,164
01-07-2021,113,73,170
01-08-2021,118,75,178
01-09-2021,121,76,186
01-10-2021,125,76,195
01-11-2021,129,77,204
01-12-2021,132,79,212
01-13-2021,137,80,219
01-14-2021,141,82,228
01-15-2021,146,84,236
01-16-2021,149,86,244
01-17-2021,153,87,252
01-18-2021,156,88,259
01-19-2021,160,89,266
01-20-2021,163,90,274
01-21-2021,167,93,278
01-22-2021,172,93,283
01-23-2021,173,95,288
01-24-2021,176,96,292
01-25-2021,179,97,296
01-26-2021,181,98,300
01-27-2021,183,99,303
01-28-2021,186,100,304
01-29-2021,187,101,306
01-30-2021,188,101,306
