date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
10-04-2020,15,15,15
10-05-2020,15,15,15
10-06-2020,16,16,17
10-07-2020,22,20,22
10-08-2020,21,20,22
10-09-2020,22,20,22
10-10-2020,22,22,22
10-11-2020,21,21,22
10-12-2020,23,23,24
10-13-2020,24,24,24
10-14-2020,21,21,21
10-15-2020,23,23,23
10-16-2020,23,21,23
10-17-2020,22,21,23
10-18-2020,23,23,23
10-19-2020,24,23,24
10-20-2020,24,24,25
10-21-2020,24,24,25
10-22-2020,24,24,29
10-23-2020,25,24,29
10-24-2020,27,24,31
10-25-2020,27,24,32
10-26-2020,30,25,35
10-27-2020,30,26,37
10-28-2020,31,27,39
10-29-2020,31,26,42
10-30-2020,32,27,44
10-31-2020,34,25,47
11-01-2020,35,25,48
11-02-2020,37,25,52
11-03-2020,39,25,52
11-04-2020,42,25,55
11-05-2020,42,25,57
11-06-2020,43,27,59
11-07-2020,43,27,62
11-08-2020,43,26,64
11-09-2020,44,26,68
11-10-2020,44,26,71
11-11-2020,44,27,74
11-12-2020,44,27,77
11-13-2020,47,27,81
11-14-2020,48,27,84
11-15-2020,49,26,87
11-16-2020,49,26,90
11-17-2020,49,26,95
11-18-2020,50,26,98
11-19-2020,51,26,103
11-20-2020,53,26,106
11-21-2020,53,26,110
11-22-2020,54,26,115
11-23-2020,55,26,117
11-24-2020,55,25,122
11-25-2020,55,24,126
11-26-2020,55,24,128
11-27-2020,54,24,131
11-28-2020,55,24,134
11-29-2020,58,24,141
11-30-2020,58,22,142
12-01-2020,58,22,150
12-02-2020,57,20,152
12-03-2020,58,22,161
12-04-2020,58,21,162
12-05-2020,59,22,170
