date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
09-06-2020,14,14,16
09-07-2020,14,13,15
09-08-2020,16,14,17
09-09-2020,14,13,16
09-10-2020,16,14,20
09-11-2020,18,16,21
09-12-2020,18,17,20
09-13-2020,19,18,20
09-14-2020,18,18,19
09-15-2020,17,17,18
09-16-2020,17,17,21
09-17-2020,17,16,19
09-18-2020,18,15,18
09-19-2020,19,17,19
09-20-2020,19,17,19
09-21-2020,20,17,20
09-22-2020,19,17,20
09-23-2020,18,17,21
09-24-2020,18,17,20
09-25-2020,18,17,21
09-26-2020,17,17,21
09-27-2020,17,16,21
09-28-2020,17,16,21
09-29-2020,17,16,21
09-30-2020,19,16,22
10-01-2020,18,15,22
10-02-2020,18,16,22
10-03-2020,19,16,25
10-04-2020,19,16,27
10-05-2020,19,16,28
10-06-2020,21,16,29
10-07-2020,22,15,31
10-08-2020,22,14,31
10-09-2020,22,15,33
10-10-2020,23,17,33
10-11-2020,24,18,35
10-12-2020,24,18,36
10-13-2020,24,18,39
10-14-2020,25,17,40
10-15-2020,25,17,40
10-16-2020,24,17,41
10-17-2020,24,16,41
10-18-2020,24,16,44
10-19-2020,23,16,44
10-20-2020,23,15,45
10-21-2020,24,15,45
10-22-2020,24,16,46
10-23-2020,24,16,46
10-24-2020,23,16,46
10-25-2020,23,15,47
10-26-2020,23,15,47
10-27-2020,23,14,46
10-28-2020,23,14,45
10-29-2020,21,13,46
10-30-2020,20,13,46
10-31-2020,20,13,46
11-01-2020,20,13,46
11-02-2020,20,12,46
11-03-2020,19,12,46
11-04-2020,19,12,45
11-05-2020,19,12,44
11-06-2020,18,11,44
11-07-2020,17,10,44
