date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
09-06-2020,88,87,93
09-07-2020,91,88,94
09-08-2020,96,89,101
09-09-2020,92,87,94
09-10-2020,97,91,104
09-11-2020,95,90,101
09-12-2020,97,91,102
09-13-2020,97,92,102
09-14-2020,96,92,100
09-15-2020,94,92,98
09-16-2020,97,94,107
09-17-2020,92,87,102
09-18-2020,95,85,101
09-19-2020,96,90,102
09-20-2020,98,93,104
09-21-2020,100,92,107
09-22-2020,99,92,108
09-23-2020,99,90,110
09-24-2020,98,90,111
09-25-2020,98,91,114
09-26-2020,99,89,115
09-27-2020,102,87,116
09-28-2020,102,85,117
09-29-2020,102,85,119
09-30-2020,106,85,120
10-01-2020,106,87,122
10-02-2020,107,86,126
10-03-2020,108,86,136
10-04-2020,110,86,140
10-05-2020,114,89,144
10-06-2020,115,89,150
10-07-2020,119,89,156
10-08-2020,120,88,159
10-09-2020,124,93,166
10-10-2020,126,93,169
10-11-2020,133,100,175
10-12-2020,134,100,180
10-13-2020,139,101,192
10-14-2020,141,101,197
10-15-2020,142,101,199
10-16-2020,141,102,204
10-17-2020,143,100,209
10-18-2020,146,102,222
10-19-2020,147,103,226
10-20-2020,150,102,232
10-21-2020,152,104,238
10-22-2020,154,105,243
10-23-2020,158,104,252
10-24-2020,158,106,258
10-25-2020,160,105,264
10-26-2020,161,106,267
10-27-2020,160,103,273
10-28-2020,162,103,277
10-29-2020,160,102,285
10-30-2020,161,103,288
10-31-2020,161,103,291
11-01-2020,162,103,299
11-02-2020,161,100,303
11-03-2020,160,99,304
11-04-2020,159,99,309
11-05-2020,162,96,312
11-06-2020,160,94,315
11-07-2020,157,94,315
