date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
08-30-2020,18,17,18
08-31-2020,16,15,17
09-01-2020,18,15,18
09-02-2020,17,16,17
09-03-2020,14,13,16
09-04-2020,14,13,17
09-05-2020,14,13,14
09-06-2020,14,13,15
09-07-2020,15,15,16
09-08-2020,16,15,18
09-09-2020,17,15,17
09-10-2020,18,18,18
09-11-2020,17,17,18
09-12-2020,17,16,18
09-13-2020,18,17,18
09-14-2020,18,17,18
09-15-2020,18,17,18
09-16-2020,17,17,19
09-17-2020,17,17,19
09-18-2020,17,17,19
09-19-2020,17,17,19
09-20-2020,18,17,19
09-21-2020,18,17,21
09-22-2020,18,17,23
09-23-2020,19,18,23
09-24-2020,19,18,24
09-25-2020,19,17,24
09-26-2020,19,17,26
09-27-2020,23,17,26
09-28-2020,23,18,27
09-29-2020,24,18,28
09-30-2020,25,18,28
10-01-2020,25,18,29
10-02-2020,25,19,31
10-03-2020,26,20,31
10-04-2020,26,20,32
10-05-2020,25,20,33
10-06-2020,26,20,35
10-07-2020,26,20,36
10-08-2020,27,20,36
10-09-2020,27,22,37
10-10-2020,27,22,39
10-11-2020,27,21,41
10-12-2020,29,21,42
10-13-2020,29,21,43
10-14-2020,29,21,44
10-15-2020,30,21,45
10-16-2020,30,21,46
10-17-2020,30,22,47
10-18-2020,30,22,48
10-19-2020,31,22,49
10-20-2020,31,21,50
10-21-2020,30,21,51
10-22-2020,29,21,53
10-23-2020,29,21,55
10-24-2020,29,21,56
10-25-2020,29,20,57
10-26-2020,29,20,57
10-27-2020,29,20,58
10-28-2020,29,20,58
10-29-2020,29,20,59
10-30-2020,29,19,59
10-31-2020,28,19,59
