date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
09-06-2020,14,14,16
09-07-2020,14,13,15
09-08-2020,16,14,17
09-09-2020,14,13,16
09-10-2020,16,14,20
09-11-2020,18,16,21
09-12-2020,18,17,20
09-13-2020,19,18,20
09-14-2020,18,18,19
09-15-2020,17,17,18
09-16-2020,17,17,21
09-17-2020,17,16,19
09-18-2020,18,15,18
09-19-2020,19,17,19
09-20-2020,19,17,19
09-21-2020,20,17,20
09-22-2020,19,17,20
09-23-2020,18,17,21
09-24-2020,18,17,20
09-25-2020,18,17,21
09-26-2020,17,17,21
09-27-2020,17,16,21
09-28-2020,17,16,21
09-29-2020,17,16,21
09-30-2020,19,16,22
10-01-2020,18,15,22
10-02-2020,18,16,22
10-03-2020,19,16,23
10-04-2020,19,16,25
10-05-2020,19,15,25
10-06-2020,21,15,27
10-07-2020,20,14,28
10-08-2020,20,14,29
10-09-2020,20,14,30
10-10-2020,20,13,31
10-11-2020,20,13,32
10-12-2020,20,14,33
10-13-2020,20,15,33
10-14-2020,21,16,33
10-15-2020,21,16,34
10-16-2020,21,16,36
10-17-2020,20,16,37
10-18-2020,21,16,38
10-19-2020,21,16,38
10-20-2020,21,15,38
10-21-2020,21,15,38
10-22-2020,21,14,38
10-23-2020,21,13,38
10-24-2020,20,13,39
10-25-2020,20,13,39
10-26-2020,20,11,39
10-27-2020,19,11,38
10-28-2020,19,11,38
10-29-2020,19,10,37
10-30-2020,18,9,37
10-31-2020,18,10,36
11-01-2020,17,10,36
11-02-2020,17,9,36
11-03-2020,17,8,36
11-04-2020,15,8,36
11-05-2020,15,8,36
11-06-2020,15,8,35
11-07-2020,14,7,35
