date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
06-28-2020,0,0,9
06-29-2020,0,0,9
06-30-2020,0,0,9
07-01-2020,1,0,9
07-02-2020,1,0,9
07-03-2020,0,0,9
07-04-2020,1,0,9
07-05-2020,1,0,9
07-06-2020,1,0,10
07-07-2020,1,0,10
07-08-2020,1,0,9
07-09-2020,1,0,10
07-10-2020,1,0,10
07-11-2020,1,0,10
07-12-2020,1,0,11
07-13-2020,1,0,11
07-14-2020,1,0,13
07-15-2020,1,0,12
07-16-2020,1,0,14
07-17-2020,1,0,14
07-18-2020,1,0,15
07-19-2020,1,0,14
07-20-2020,1,0,14
07-21-2020,1,0,15
07-22-2020,1,0,16
07-23-2020,1,0,16
07-24-2020,1,0,17
07-25-2020,2,0,16
07-26-2020,2,0,18
07-27-2020,2,0,18
07-28-2020,3,0,18
07-29-2020,4,0,19
07-30-2020,3,0,17
07-31-2020,4,0,18
08-01-2020,4,0,18
08-02-2020,5,0,28
08-03-2020,5,0,26
08-04-2020,6,0,30
08-05-2020,6,0,30
08-06-2020,6,0,32
08-07-2020,6,0,33
08-08-2020,6,0,36
08-09-2020,8,0,38
08-10-2020,9,0,40
08-11-2020,9,0,41
08-12-2020,10,0,41
08-13-2020,10,0,43
08-14-2020,10,0,45
08-15-2020,10,0,48
08-16-2020,10,0,50
08-17-2020,11,0,53
08-18-2020,11,0,54
08-19-2020,12,0,55
08-20-2020,13,0,56
08-21-2020,14,0,57
08-22-2020,15,0,62
