date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
07-19-2020,8,0,30
07-20-2020,9,0,30
07-21-2020,9,0,30
07-22-2020,9,0,30
07-23-2020,9,0,30
07-24-2020,9,0,29
07-25-2020,9,0,29
07-26-2020,9,0,29
07-27-2020,9,0,29
07-28-2020,9,0,29
07-29-2020,9,0,29
07-30-2020,9,0,29
07-31-2020,9,0,28
08-01-2020,9,0,28
08-02-2020,10,0,32
08-03-2020,11,0,32
08-04-2020,11,0,33
08-05-2020,11,0,34
08-06-2020,11,0,36
08-07-2020,11,0,37
08-08-2020,11,0,37
08-09-2020,11,0,37
08-10-2020,11,0,37
08-11-2020,11,0,37
08-12-2020,12,0,37
08-13-2020,12,0,37
08-14-2020,12,0,37
08-15-2020,12,0,37
08-16-2020,13,0,37
08-17-2020,13,0,37
08-18-2020,13,0,37
08-19-2020,13,0,37
08-20-2020,13,0,38
08-21-2020,13,0,39
08-22-2020,14,0,40
08-23-2020,14,0,40
08-24-2020,14,0,40
08-25-2020,14,0,41
08-26-2020,15,0,42
08-27-2020,15,0,43
08-28-2020,15,0,43
08-29-2020,15,0,43
08-30-2020,15,0,43
08-31-2020,15,0,43
09-01-2020,16,0,43
09-02-2020,16,0,43
09-03-2020,17,0,43
09-04-2020,17,0,44
09-05-2020,17,0,44
