date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
07-19-2020,84,2,273
07-20-2020,87,2,288
07-21-2020,93,3,298
07-22-2020,99,2,320
07-23-2020,100,2,316
07-24-2020,97,2,308
07-25-2020,102,2,321
07-26-2020,104,3,331
07-27-2020,107,3,330
07-28-2020,109,3,322
07-29-2020,109,3,327
07-30-2020,102,2,298
07-31-2020,99,2,286
08-01-2020,98,2,283
08-02-2020,101,2,280
08-03-2020,106,2,277
08-04-2020,102,2,272
08-05-2020,102,2,271
08-06-2020,102,2,265
08-07-2020,105,2,261
08-08-2020,104,2,253
08-09-2020,105,2,246
08-10-2020,103,2,243
08-11-2020,105,2,233
08-12-2020,105,2,231
08-13-2020,103,2,226
08-14-2020,104,2,219
08-15-2020,104,2,214
08-16-2020,105,2,209
08-17-2020,104,2,204
08-18-2020,102,2,200
08-19-2020,106,2,197
08-20-2020,103,2,191
08-21-2020,105,2,187
08-22-2020,104,2,184
08-23-2020,102,2,177
08-24-2020,102,2,173
08-25-2020,102,2,169
08-26-2020,101,2,169
08-27-2020,100,1,164
08-28-2020,100,2,160
08-29-2020,98,2,157
08-30-2020,99,2,152
08-31-2020,98,2,149
09-01-2020,96,2,147
09-02-2020,96,2,142
09-03-2020,94,2,141
09-04-2020,93,2,139
09-05-2020,90,2,132
