date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
07-19-2020,9,0,36
07-20-2020,9,0,37
07-21-2020,9,0,40
07-22-2020,10,0,40
07-23-2020,10,0,40
07-24-2020,11,0,41
07-25-2020,11,0,41
07-26-2020,11,0,43
07-27-2020,12,0,47
07-28-2020,13,0,50
07-29-2020,13,0,51
07-30-2020,13,0,53
07-31-2020,13,0,55
08-01-2020,13,0,55
08-02-2020,14,0,56
08-03-2020,14,0,57
08-04-2020,14,0,59
08-05-2020,14,0,60
08-06-2020,14,0,62
08-07-2020,16,0,65
08-08-2020,16,0,65
08-09-2020,17,0,66
08-10-2020,17,0,68
08-11-2020,18,0,68
08-12-2020,18,0,70
08-13-2020,19,0,71
08-14-2020,19,0,74
08-15-2020,20,0,76
08-16-2020,20,0,77
08-17-2020,21,0,79
08-18-2020,22,0,82
08-19-2020,23,0,82
08-20-2020,23,0,84
08-21-2020,24,0,84
08-22-2020,24,0,86
08-23-2020,25,0,87
08-24-2020,25,0,87
08-25-2020,25,0,88
08-26-2020,27,0,90
08-27-2020,28,0,90
08-28-2020,29,0,91
08-29-2020,30,0,92
08-30-2020,31,0,92
08-31-2020,32,0,92
09-01-2020,34,0,93
09-02-2020,34,0,94
09-03-2020,35,0,95
09-04-2020,35,0,95
09-05-2020,36,0,96
