date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
06-14-2020,22,0,62
06-15-2020,21,0,61
06-16-2020,21,0,60
06-17-2020,21,0,58
06-18-2020,20,0,57
06-19-2020,19,0,57
06-20-2020,19,0,56
06-21-2020,17,0,53
06-22-2020,17,0,53
06-23-2020,17,0,52
06-24-2020,16,0,50
06-25-2020,15,0,49
06-26-2020,15,0,49
06-27-2020,15,0,47
06-28-2020,15,0,46
06-29-2020,14,0,45
06-30-2020,13,0,44
07-01-2020,13,0,44
07-02-2020,12,0,42
07-03-2020,12,0,41
07-04-2020,12,0,40
07-05-2020,12,0,40
07-06-2020,12,0,39
07-07-2020,12,0,38
07-08-2020,12,0,37
07-09-2020,11,0,35
07-10-2020,10,0,35
07-11-2020,9,0,34
07-12-2020,9,0,33
07-13-2020,9,0,33
07-14-2020,9,0,32
07-15-2020,9,0,31
07-16-2020,9,0,30
07-17-2020,9,0,30
07-18-2020,9,0,30
07-19-2020,9,0,29
07-20-2020,9,0,28
07-21-2020,9,0,27
07-22-2020,9,0,26
07-23-2020,9,0,26
07-24-2020,8,0,25
07-25-2020,7,0,25
07-26-2020,7,0,24
07-27-2020,7,0,23
07-28-2020,7,0,23
07-29-2020,7,0,22
07-30-2020,7,0,22
07-31-2020,6,0,21
08-01-2020,6,0,20
08-02-2020,6,0,19
08-03-2020,6,0,17
08-04-2020,6,0,16
08-05-2020,5,0,16
08-06-2020,5,0,15
08-07-2020,5,0,15
08-08-2020,5,0,15
