date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
06-21-2020,64,1,169
06-22-2020,62,1,162
06-23-2020,59,1,154
06-24-2020,57,1,145
06-25-2020,56,1,139
06-26-2020,54,1,137
06-27-2020,53,1,133
06-28-2020,51,1,128
06-29-2020,48,1,122
06-30-2020,44,1,116
07-01-2020,43,1,113
07-02-2020,41,1,108
07-03-2020,40,1,104
07-04-2020,36,0,99
07-05-2020,35,0,94
07-06-2020,34,0,91
07-07-2020,32,0,86
07-08-2020,31,0,82
07-09-2020,31,0,80
07-10-2020,31,0,76
07-11-2020,29,0,72
07-12-2020,27,0,71
07-13-2020,26,0,69
07-14-2020,24,0,66
07-15-2020,23,0,61
07-16-2020,23,0,58
07-17-2020,23,0,56
07-18-2020,21,0,54
07-19-2020,21,0,52
07-20-2020,20,0,51
07-21-2020,20,0,50
07-22-2020,19,0,47
07-23-2020,17,0,46
07-24-2020,16,0,43
07-25-2020,16,0,41
07-26-2020,15,0,40
07-27-2020,15,0,38
07-28-2020,15,0,35
07-29-2020,15,0,35
07-30-2020,14,0,33
07-31-2020,14,0,31
08-01-2020,12,0,30
08-02-2020,12,0,30
08-03-2020,11,0,28
08-04-2020,11,0,28
08-05-2020,11,0,27
08-06-2020,10,0,25
08-07-2020,9,0,25
08-08-2020,8,0,24
08-09-2020,8,0,21
08-10-2020,7,0,20
08-11-2020,6,0,19
08-12-2020,6,0,19
08-13-2020,6,0,18
08-14-2020,6,0,16
08-15-2020,6,0,16
