date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
04-10-2021,86.21,,,,,,,,235,,,actual
04-17-2021,85.94,,,,,,,,225,,,actual
04-24-2021,85.73,,,,,,,,217,,,actual
05-01-2021,84.65,140,138,148,84.36,84.89,140 [138 - 148],84.65% [84.36% - 84.89%],176,165,185,projected
05-08-2021,84.2,121,116,139,83.78,85.47,121 [116 - 139],84.2% [83.78% - 85.47%],159,143,207,projected
05-15-2021,83.65,111,105,137,82.88,86.6,111 [105 - 137],83.65% [82.88% - 86.6%],138,109,250,projected
05-22-2021,83.38,95,90,128,82.27,88.11,95 [90 - 128],83.38% [82.27% - 88.11%],128,86,307,projected
05-29-2021,82.8,78,73,114,81.82,89.46,78 [73 - 114],82.8% [81.82% - 89.46%],106,69,358,projected
06-05-2021,82.3,69,63,104,81.32,89.8,69 [63 - 104],82.3% [81.32% - 89.8%],87,50,371,projected
06-12-2021,82.09,51,45,80,80.98,88.87,51 [45 - 80],82.09% [80.98% - 88.87%],79,37,336,projected
