date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
04-17-2021,86.29,,,,,,,,221,,,actual
04-24-2021,86.6,,,,,,,,232,,,actual
05-01-2021,85.52,,,,,,,,194,,,actual
05-08-2021,88.0,226,217,256,87.17,90.42,226 [217 - 256],88.0% [87.17% - 90.42%],281,252,366,projected
05-15-2021,87.34,208,199,251,85.69,93.01,208 [199 - 251],87.34% [85.69% - 93.01%],258,200,457,projected
05-22-2021,86.77,181,172,233,84.75,95.46,181 [172 - 233],86.77% [84.75% - 95.46%],238,167,543,projected
05-29-2021,85.86,158,148,214,83.84,97.11,158 [148 - 214],85.86% [83.84% - 97.11%],206,135,601,projected
06-05-2021,85.1,133,122,189,82.85,97.56,133 [122 - 189],85.1% [82.85% - 97.56%],179,100,617,projected
06-12-2021,84.24,100,90,155,81.94,96.71,100 [90 - 155],84.24% [81.94% - 96.71%],149,68,587,projected
06-19-2021,83.1,67,59,113,81.17,94.6,67 [59 - 113],83.1% [81.17% - 94.6%],109,41,513,projected
