date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
02-06-2021,92.57,,,,,,,,2250,,,actual
02-13-2021,91.33,,,,,,,,2028,,,actual
02-20-2021,89.31,,,,,,,,1666,,,actual
02-27-2021,81.26,713,690,735,81.15,81.35,713 [690 - 735],81.26% [81.15% - 81.35%],226,205,242,projected
03-06-2021,81.03,599,574,627,80.84,81.25,599 [574 - 627],81.03% [80.84% - 81.25%],184,151,224,projected
03-13-2021,80.9,525,493,565,80.64,81.19,525 [493 - 565],80.9% [80.64% - 81.19%],161,115,213,projected
03-20-2021,80.76,436,405,485,80.46,81.2,436 [405 - 485],80.76% [80.46% - 81.2%],136,83,215,projected
03-27-2021,80.62,345,317,392,80.34,81.11,345 [317 - 392],80.62% [80.34% - 81.11%],111,60,198,projected
04-03-2021,80.49,268,243,312,80.22,80.97,268 [243 - 312],80.49% [80.22% - 80.97%],87,39,173,projected
04-10-2021,80.36,191,174,229,80.15,80.79,191 [174 - 229],80.36% [80.15% - 80.79%],65,27,141,projected
