date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
01-30-2021,97.91,,,,,,,,678,,,actual
02-06-2021,96.22,,,,,,,,614,,,actual
02-13-2021,94.45,,,,,,,,547,,,actual
02-20-2021,88.72,236,231,241,88.4,89.03,236 [231 - 241],88.72% [88.4% - 89.03%],330,318,342,projected
02-27-2021,87.08,199,191,207,86.31,87.92,199 [191 - 207],87.08% [86.31% - 87.92%],268,239,300,projected
03-06-2021,85.89,154,146,163,84.44,87.24,154 [146 - 163],85.89% [84.44% - 87.24%],223,168,274,projected
03-13-2021,84.6,127,120,136,83.28,86.34,127 [120 - 136],84.6% [83.28% - 86.34%],174,124,240,projected
03-20-2021,83.75,97,90,105,82.3,85.41,97 [90 - 105],83.75% [82.3% - 85.41%],142,87,205,projected
03-27-2021,82.85,70,63,78,81.45,84.46,70 [63 - 78],82.85% [81.45% - 84.46%],108,55,169,projected
04-03-2021,82.01,48,44,55,80.92,83.49,48 [44 - 55],82.01% [80.92% - 83.49%],76,35,132,projected
