date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
01-16-2021,98.08,,,,,,,,635,,,actual
01-23-2021,125.0,,,,,,,,1581,,,actual
01-30-2021,95.97,,,,,,,,561,,,actual
02-06-2021,98.62,540,530,550,97.88,99.33,540 [530 - 550],98.62% [97.88% - 99.33%],654,628,679,projected
02-13-2021,97.51,482,463,499,95.77,99.3,482 [463 - 499],97.51% [95.77% - 99.3%],615,554,678,projected
02-20-2021,95.6,434,413,455,92.15,98.99,434 [413 - 455],95.6% [92.15% - 98.99%],548,427,667,projected
02-27-2021,93.98,377,355,403,89.48,98.42,377 [355 - 403],93.98% [89.48% - 98.42%],491,333,647,projected
03-06-2021,92.1,309,288,338,87.34,97.68,309 [288 - 338],92.1% [87.34% - 97.68%],425,258,621,projected
03-13-2021,89.93,247,229,276,85.47,96.17,247 [229 - 276],89.93% [85.47% - 96.17%],349,192,568,projected
03-20-2021,87.97,197,180,224,83.87,94.2,197 [180 - 224],87.97% [83.87% - 94.2%],280,136,499,projected
