date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
12-26-2020,104.54,,,,,,,,4393,,,actual
01-02-2021,106.9,,,,,,,,4815,,,actual
01-09-2021,95.15,,,,,,,,2711,,,actual
01-16-2021,102.2,2606,2549,2673,100.63,103.95,2606 [2549 - 2673],102.2% [100.63% - 103.95%],3974,3693,4287,projected
01-23-2021,104.63,2878,2771,3011,100.4,109.96,2878 [2771 - 3011],104.63% [100.4% - 109.96%],4408,3651,5362,projected
01-30-2021,106.67,3097,2949,3318,99.58,116.74,3097 [2949 - 3318],106.67% [99.58% - 116.74%],4774,3505,6576,projected
02-06-2021,108.05,3220,3040,3518,98.5,123.05,3220 [3040 - 3518],108.05% [98.5% - 123.05%],5020,3311,7705,projected
02-13-2021,108.19,3096,2908,3449,98.05,124.47,3096 [2908 - 3449],108.19% [98.05% - 124.47%],5045,3230,7960,projected
02-20-2021,107.41,2768,2581,3134,96.34,127.08,2768 [2581 - 3134],107.41% [96.34% - 127.08%],4906,2924,8426,projected
02-27-2021,104.73,2330,2147,2689,93.6,126.5,2330 [2147 - 2689],104.73% [93.6% - 126.5%],4426,2435,8322,projected
