date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
04-17-2021,85.17,,,,,,,,926,,,actual
04-24-2021,85.47,,,,,,,,979,,,actual
05-01-2021,84.87,,,,,,,,871,,,actual
05-08-2021,82.27,549,530,569,82.02,82.5,549 [530 - 569],82.27% [82.02% - 82.5%],406,362,448,projected
05-15-2021,82.25,550,525,585,81.65,83.08,550 [525 - 585],82.25% [81.65% - 83.08%],403,295,552,projected
05-22-2021,82.45,604,569,676,81.59,84.07,604 [569 - 676],82.45% [81.59% - 84.07%],439,284,729,projected
05-29-2021,82.83,695,641,827,81.44,85.91,695 [641 - 827],82.83% [81.44% - 85.91%],507,257,1058,projected
06-05-2021,83.3,810,736,1045,81.44,89.02,810 [736 - 1045],83.3% [81.44% - 89.02%],590,257,1615,projected
06-12-2021,84.05,988,889,1278,81.6,91.5,988 [889 - 1278],84.05% [81.6% - 91.5%],724,286,2059,projected
06-19-2021,85.62,1348,1207,1768,82.07,96.14,1348 [1207 - 1768],85.62% [82.07% - 96.14%],1006,370,2888,projected
