date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
04-17-2021,83.97,,,,,,,,133,,,actual
04-24-2021,84.27,,,,,,,,143,,,actual
05-01-2021,83.76,,,,,,,,126,,,actual
05-08-2021,82.51,75,70,100,81.61,86.63,75 [70 - 100],82.51% [81.61% - 86.63%],84,54,222,projected
05-15-2021,82.9,85,79,134,81.73,91.5,85 [79 - 134],82.9% [81.73% - 91.5%],97,58,385,projected
05-22-2021,83.47,102,95,176,82.06,98.31,102 [95 - 176],83.47% [82.06% - 98.31%],116,69,613,projected
05-29-2021,84.9,147,133,237,82.33,104.44,147 [133 - 237],84.9% [82.33% - 104.44%],164,78,818,projected
06-05-2021,87.41,223,199,331,83.11,111.1,223 [199 - 331],87.41% [83.11% - 111.1%],248,104,1041,projected
06-12-2021,91.08,331,294,486,83.94,122.43,331 [294 - 486],91.08% [83.94% - 122.43%],371,132,1420,projected
06-19-2021,95.24,457,402,685,84.33,140.53,457 [402 - 685],95.24% [84.33% - 140.53%],510,145,2026,projected
