date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
01-02-2021,106.9,,,,,,,,4815,,,actual
01-09-2021,95.15,,,,,,,,2711,,,actual
01-16-2021,111.27,,,,,,,,5597,,,actual
01-23-2021,105.81,3077,3018,3147,104.23,107.79,3077 [3018 - 3147],105.81% [104.23% - 107.79%],4619,4336,4973,projected
01-30-2021,108.33,3270,3150,3416,103.66,114.08,3270 [3150 - 3416],108.33% [103.66% - 114.08%],5070,4235,6100,projected
02-06-2021,109.19,3349,3191,3574,101.32,119.52,3349 [3191 - 3574],109.19% [101.32% - 119.52%],5225,3816,7073,projected
02-13-2021,110.2,3471,3264,3783,99.47,125.36,3471 [3264 - 3783],110.2% [99.47% - 125.36%],5406,3484,8118,projected
02-20-2021,111.32,3614,3363,4017,97.9,132.07,3614 [3363 - 4017],111.32% [97.9% - 132.07%],5605,3203,9320,projected
02-27-2021,112.75,3776,3483,4274,96.68,139.17,3776 [3483 - 4274],112.75% [96.68% - 139.17%],5862,2986,10590,projected
03-06-2021,114.0,3910,3586,4496,95.57,146.08,3910 [3586 - 4496],114.0% [95.57% - 146.08%],6085,2786,11827,projected
