date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
03-13-2021,87.12,,,,,,,,294,,,actual
03-20-2021,86.1,,,,,,,,252,,,actual
03-27-2021,85.43,,,,,,,,224,,,actual
04-03-2021,82.71,91,86,95,82.33,83.2,91 [86 - 95],82.71% [82.33% - 83.2%],112,96,132,projected
04-10-2021,82.49,75,70,81,81.74,83.22,75 [70 - 81],82.49% [81.74% - 83.22%],103,72,133,projected
04-17-2021,82.08,67,62,73,81.26,83.08,67 [62 - 73],82.08% [81.26% - 83.08%],86,52,127,projected
04-24-2021,81.82,54,49,62,81.02,82.95,54 [49 - 62],81.82% [81.02% - 82.95%],75,42,122,projected
05-01-2021,81.45,38,34,48,80.63,82.88,38 [34 - 48],81.45% [80.63% - 82.88%],60,26,119,projected
05-08-2021,81.07,35,31,44,80.51,82.86,35 [31 - 44],81.07% [80.51% - 82.86%],44,21,118,projected
05-15-2021,81.02,24,20,35,80.39,82.69,24 [20 - 35],81.02% [80.39% - 82.69%],42,16,111,projected
