date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
01-16-2021,89.26,,,,,,,,111,,,actual
01-23-2021,88.17,,,,,,,,98,,,actual
01-30-2021,86.51,,,,,,,,78,,,actual
02-06-2021,84.75,47,45,50,84.59,85.17,47 [45 - 50],84.75% [84.59% - 85.17%],57,55,62,projected
02-13-2021,84.34,45,42,49,83.42,85.25,45 [42 - 49],84.34% [83.42% - 85.25%],52,41,63,projected
02-20-2021,84.17,43,40,49,82.75,86.42,43 [40 - 49],84.17% [82.75% - 86.42%],50,33,77,projected
02-27-2021,84.0,42,39,50,82.25,87.67,42 [39 - 50],84.0% [82.25% - 87.67%],48,27,92,projected
03-06-2021,84.0,42,39,50,82.0,89.34,42 [39 - 50],84.0% [82.0% - 89.34%],48,24,112,projected
03-13-2021,84.09,42,37,49,81.92,89.17,42 [37 - 49],84.09% [81.92% - 89.17%],49,23,110,projected
03-20-2021,83.92,36,31,43,80.92,88.09,36 [31 - 43],83.92% [80.92% - 88.09%],47,11,97,projected
