date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
02-13-2021,88.96,,,,,,,,300,,,actual
02-20-2021,87.8,,,,,,,,261,,,actual
02-27-2021,86.21,,,,,,,,208,,,actual
03-06-2021,83.79,98,95,102,83.53,84.0,98 [95 - 102],83.79% [83.53% - 84.0%],127,118,134,projected
03-13-2021,83.32,96,90,101,82.78,83.94,96 [90 - 101],83.32% [82.78% - 83.94%],111,93,132,projected
03-20-2021,83.35,92,85,103,82.09,84.66,92 [85 - 103],83.35% [82.09% - 84.66%],112,70,156,projected
03-27-2021,83.14,84,77,97,81.73,85.23,84 [77 - 97],83.14% [81.73% - 85.23%],105,58,175,projected
04-03-2021,82.96,84,75,97,81.37,85.74,84 [75 - 97],82.96% [81.37% - 85.74%],99,46,192,projected
04-10-2021,82.9,74,65,87,80.93,85.8,74 [65 - 87],82.9% [80.93% - 85.8%],97,31,194,projected
04-17-2021,82.48,57,50,72,80.63,85.44,57 [50 - 72],82.48% [80.63% - 85.44%],83,21,182,projected
