date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
03-13-2021,84.99,,,,,,,,96,,,actual
03-20-2021,83.59,,,,,,,,69,,,actual
03-27-2021,83.64,,,,,,,,70,,,actual
04-03-2021,85.56,95,93,101,84.99,87.69,95 [93 - 101],85.56% [84.99% - 87.69%],107,96,148,projected
04-10-2021,86.39,108,102,116,84.78,89.36,108 [102 - 116],86.39% [84.78% - 89.36%],123,92,180,projected
04-17-2021,87.48,128,119,141,84.68,91.75,128 [119 - 141],87.48% [84.68% - 91.75%],144,90,226,projected
04-24-2021,88.0,134,124,156,84.21,95.33,134 [124 - 156],88.0% [84.21% - 95.33%],154,81,295,projected
05-01-2021,88.32,140,130,172,84.0,99.54,140 [130 - 172],88.32% [84.0% - 99.54%],160,77,376,projected
05-08-2021,89.15,157,141,192,83.69,103.18,157 [141 - 192],89.15% [83.69% - 103.18%],176,71,446,projected
05-15-2021,90.24,175,158,218,83.59,106.77,175 [158 - 218],90.24% [83.59% - 106.77%],197,69,515,projected
