date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
11-14-2020,85.69,,,,,,,,1019,,,actual
11-21-2020,86.48,,,,,,,,1159,,,actual
11-28-2020,94.47,,,,,,,,2590,,,actual
12-05-2020,98.4,2613,2558,2689,96.91,100.2,2613 [2558 - 2689],98.4% [96.91% - 100.2%],3293,3027,3616,projected
12-12-2020,101.18,3004,2882,3170,97.18,106.47,3004 [2882 - 3170],101.18% [97.18% - 106.47%],3791,3074,4737,projected
12-19-2020,106.53,3831,3615,4124,98.34,117.85,3831 [3615 - 4124],106.53% [98.34% - 117.85%],4748,3282,6774,projected
12-26-2020,114.12,4892,4584,5386,101.53,133.09,4892 [4584 - 5386],114.12% [101.53% - 133.09%],6107,3854,9502,projected
01-02-2021,121.92,6000,5576,6777,103.93,152.91,6000 [5576 - 6777],121.92% [103.93% - 152.91%],7503,4283,13050,projected
01-09-2021,130.16,7143,6592,8270,106.03,176.81,7143 [6592 - 8270],130.16% [106.03% - 176.81%],8977,4659,17327,projected
01-16-2021,137.59,8161,7490,9622,107.37,201.67,8161 [7490 - 9622],137.59% [107.37% - 201.67%],10308,4898,21776,projected
