date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
12-19-2020,92.23,,,,,,,,463,,,actual
12-26-2020,93.37,,,,,,,,506,,,actual
01-02-2021,93.58,,,,,,,,514,,,actual
01-09-2021,90.2,340,332,351,89.35,91.28,340 [332 - 351],90.2% [89.35% - 91.28%],386,354,427,projected
01-16-2021,91.57,386,368,404,88.87,94.66,386 [368 - 404],91.57% [88.87% - 94.66%],438,336,555,projected
01-23-2021,93.68,459,436,488,89.88,98.57,459 [436 - 488],93.68% [89.88% - 98.57%],518,374,703,projected
01-30-2021,95.61,522,493,568,90.12,103.4,522 [493 - 568],95.61% [90.12% - 103.4%],591,383,886,projected
02-06-2021,97.3,578,540,641,90.12,108.79,578 [540 - 641],97.3% [90.12% - 108.79%],655,383,1090,projected
02-13-2021,98.28,606,564,687,89.85,113.44,606 [564 - 687],98.28% [89.85% - 113.44%],692,373,1266,projected
02-20-2021,98.67,619,572,715,89.27,117.32,619 [572 - 715],98.67% [89.27% - 117.32%],707,351,1413,projected
