date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
11-07-2020,84.94,,,,,,,,95,,,actual
11-14-2020,86.13,,,,,,,,118,,,actual
11-21-2020,87.33,,,,,,,,141,,,actual
11-28-2020,97.1,293,284,307,94.4,99.39,293 [284 - 307],97.1% [94.4% - 99.39%],329,277,373,projected
12-05-2020,103.23,401,379,421,96.37,110.25,401 [379 - 421],103.23% [96.37% - 110.25%],447,315,582,projected
12-12-2020,111.5,539,510,582,102.19,124.65,539 [510 - 582],111.5% [102.19% - 124.65%],606,427,859,projected
12-19-2020,121.22,705,661,788,106.51,147.1,705 [661 - 788],121.22% [106.51% - 147.1%],793,510,1291,projected
12-26-2020,132.18,891,829,1022,110.35,176.21,891 [829 - 1022],132.18% [110.35% - 176.21%],1004,584,1851,projected
01-02-2021,144.19,1096,1015,1281,113.21,209.16,1096 [1015 - 1281],144.19% [113.21% - 209.16%],1235,639,2485,projected
01-09-2021,152.45,1230,1134,1466,115.71,241.02,1230 [1134 - 1466],152.45% [115.71% - 241.02%],1394,687,3098,projected
