date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
12-05-2020,96.5,,,,,,,,2953,,,actual
12-12-2020,89.83,,,,,,,,1760,,,actual
12-19-2020,102.71,,,,,,,,4064,,,actual
12-26-2020,90.89,1722,1667,1776,89.56,92.19,1722 [1667 - 1776],90.89% [89.56% - 92.19%],1949,1711,2182,projected
01-02-2021,91.23,1751,1681,1855,88.79,94.33,1751 [1681 - 1855],91.23% [88.79% - 94.33%],2010,1573,2564,projected
01-09-2021,91.3,1779,1682,1892,87.59,95.68,1779 [1682 - 1892],91.3% [87.59% - 95.68%],2023,1359,2807,projected
01-16-2021,91.45,1791,1676,1948,87.03,97.0,1791 [1676 - 1948],91.45% [87.03% - 97.0%],2050,1258,3042,projected
01-23-2021,91.56,1814,1685,2017,86.2,99.19,1814 [1685 - 2017],91.56% [86.2% - 99.19%],2069,1109,3435,projected
01-30-2021,91.55,1773,1633,2012,86.0,99.74,1773 [1633 - 2012],91.55% [86.0% - 99.74%],2067,1074,3533,projected
02-06-2021,91.31,1707,1559,1982,85.28,101.43,1707 [1559 - 1982],91.31% [85.28% - 101.43%],2025,945,3836,projected
