date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
11-14-2020,84.96,,,,,,,,205,,,actual
11-21-2020,85.67,,,,,,,,234,,,actual
11-28-2020,86.05,,,,,,,,250,,,actual
12-05-2020,89.54,348,341,361,88.74,90.49,348 [341 - 361],89.54% [88.74% - 90.49%],394,361,433,projected
12-12-2020,90.49,383,367,400,88.36,93.2,383 [367 - 400],90.49% [88.36% - 93.2%],433,345,545,projected
12-19-2020,90.83,387,367,417,87.75,94.29,387 [367 - 417],90.83% [87.75% - 94.29%],447,320,590,projected
12-26-2020,90.78,390,366,424,87.0,95.28,390 [366 - 424],90.78% [87.0% - 95.28%],445,289,631,projected
01-02-2021,90.83,394,364,437,85.81,98.29,394 [364 - 437],90.83% [85.81% - 98.29%],447,240,755,projected
01-09-2021,91.19,405,372,460,85.33,100.85,405 [372 - 460],91.19% [85.33% - 100.85%],462,220,861,projected
01-16-2021,91.19,401,367,465,85.26,101.22,401 [367 - 465],91.19% [85.26% - 101.22%],462,217,876,projected
