date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
04-17-2021,85.62,,,,,,,,232,,,actual
04-24-2021,85.5,,,,,,,,227,,,actual
05-01-2021,85.01,,,,,,,,207,,,actual
05-08-2021,83.29,108,102,126,82.69,84.38,108 [102 - 126],83.29% [82.69% - 84.38%],136,111,181,projected
05-15-2021,82.95,85,81,114,81.96,85.64,85 [81 - 114],82.95% [81.96% - 85.64%],122,81,233,projected
05-22-2021,82.37,77,73,117,81.62,87.31,77 [73 - 117],82.37% [81.62% - 87.31%],98,67,302,projected
05-29-2021,82.16,67,62,115,81.31,89.06,67 [62 - 115],82.16% [81.31% - 89.06%],89,54,374,projected
06-05-2021,81.84,63,57,114,80.97,90.61,63 [57 - 114],81.84% [80.97% - 90.61%],76,40,438,projected
06-12-2021,81.67,55,49,109,80.65,91.36,55 [49 - 109],81.67% [80.65% - 91.36%],69,27,469,projected
06-19-2021,81.5,45,41,98,80.56,91.65,45 [41 - 98],81.5% [80.56% - 91.65%],62,23,481,projected
